author_id,sentiment,YM
21605324,1,01/2018
620859626,0,01/2018
297397741,0,01/2018
297397741,0,01/2018
1549668462,0,01/2018
297397741,1,01/2018
718804592973053952,0,01/2018
718804592973053952,0,01/2018
256965214,0,01/2018
106287256,0,01/2018
3575550372,1,01/2018
250543278,0,01/2018
256965214,0,01/2018
256965214,1,01/2018
256965214,1,01/2018
701037780831371265,1,01/2018
2866064621,0,01/2018
2866064621,0,01/2018
2866064621,0,01/2018
2866064621,0,01/2018
2866064621,0,01/2018
2866064621,0,01/2018
2866064621,0,01/2018
2866064621,0,01/2018
701207138,1,01/2018
330269032,1,01/2018
2845338172,1,01/2018
862246149448581121,0,01/2018
297397741,0,01/2018
297397741,0,01/2018
917014175506849797,0,01/2018
919859788015472640,0,01/2018
2329680300,0,01/2018
297397741,0,01/2018
297397741,0,01/2018
3877887200,1,01/2018
3877887200,1,01/2018
335439367,0,01/2018
66381016,0,01/2018
3774197720,0,01/2018
17463660,1,01/2018
359628368,1,01/2018
1132001222,0,01/2018
1132001222,0,01/2018
2800599859,0,01/2018
21082756,1,01/2018
3415655637,0,01/2018
245274881,0,01/2018
44111067,1,01/2018
297397741,1,01/2018
721590650563461120,0,01/2018
3151822850,1,01/2018
297397741,0,01/2018
718804592973053952,0,01/2018
22531173,0,01/2018
17155861,0,01/2018
718804592973053952,0,01/2018
245274881,0,01/2018
932136430301777920,0,01/2018
297397741,0,01/2018
397523467,1,01/2018
17921967,0,01/2018
3255730008,0,01/2018
16228337,0,01/2018
2356982959,1,01/2018
518238327,1,01/2018
2255220570,0,01/2018
3255730008,0,01/2018
16228337,0,01/2018
17463660,1,01/2018
376051531,1,01/2018
163168151,0,01/2018
33431328,1,01/2018
779050277324423169,1,01/2018
246984844,1,01/2018
264340308,0,01/2018
620859626,0,01/2018
297397741,1,01/2018
920122256365199360,0,01/2018
618596865,0,01/2018
35581158,0,01/2018
1289369408,0,01/2018
16501971,0,01/2018
8135702,1,01/2018
1093893686,1,01/2018
1970402894,0,01/2018
245274881,0,01/2018
15356879,1,01/2018
42002120,1,01/2018
3412763111,1,01/2018
12788212,1,01/2018
735478117,1,01/2018
83588783,1,01/2018
923279845102161922,1,01/2018
20715095,0,01/2018
17921967,0,01/2018
23424617,1,01/2018
163168151,0,01/2018
1308578156,0,01/2018
2937005427,1,01/2018
33840142,1,01/2018
913132725212733442,0,01/2018
799045513844817920,0,01/2018
775012176952233984,0,01/2018
3055512640,0,01/2018
826421749487108096,0,01/2018
29773589,1,01/2018
23204649,0,01/2018
2255220570,0,01/2018
2507799980,1,01/2018
21573897,1,01/2018
297397741,0,01/2018
932349867434893318,1,01/2018
888069629360222208,1,01/2018
1970402894,0,01/2018
1970402894,0,01/2018
49748405,1,01/2018
245274881,1,01/2018
893570035486150656,1,01/2018
527393291,0,01/2018
3019337285,0,01/2018
250657839,0,01/2018
884022229,0,01/2018
705771961054584833,0,01/2018
1632357366,0,01/2018
3185607673,1,01/2018
1648045988,0,01/2018
305362686,0,01/2018
4159048754,1,01/2018
888757075374768132,0,01/2018
2312176156,0,01/2018
297397741,0,01/2018
368471797,1,01/2018
921609360,0,01/2018
250543278,1,01/2018
854776158,1,01/2018
833669009551851524,1,01/2018
871675827343282177,1,01/2018
871675827343282177,1,01/2018
32457148,1,01/2018
834844187325513734,1,01/2018
834844187325513734,1,01/2018
32457148,1,01/2018
356692321,1,01/2018
514478098,1,01/2018
555031989,1,01/2018
48616766,1,01/2018
2255220570,0,01/2018
864774759673942016,1,01/2018
20526166,1,01/2018
3815139737,1,01/2018
527393291,0,01/2018
722042028385771520,0,01/2018
4866163553,1,01/2018
620859626,0,01/2018
156396195,1,01/2018
50695010,0,01/2018
880415902960730113,1,01/2018
32312462,1,01/2018
595479894,1,01/2018
23105861,0,01/2018
22005371,0,01/2018
1536103471,1,01/2018
4159048754,1,01/2018
331734057,0,01/2018
1094094829,0,01/2018
67015837,0,01/2018
18205845,1,01/2018
2255220570,1,01/2018
819980529374285828,1,01/2018
256965214,1,01/2018
1880105924,0,01/2018
2816256171,1,01/2018
2255220570,1,01/2018
3354969087,1,01/2018
2329680300,0,01/2018
727442781837381633,0,01/2018
875626497599455232,0,01/2018
153466912,1,01/2018
888069629360222208,1,01/2018
26352439,1,01/2018
250543278,1,01/2018
3008735148,1,01/2018
14056672,0,01/2018
204982635,0,01/2018
31183155,1,01/2018
745266288197574657,0,01/2018
10492752,1,01/2018
264340308,1,01/2018
277124724,1,01/2018
15648148,1,01/2018
238882546,1,01/2018
18161669,0,01/2018
235153539,1,01/2018
312637921,1,01/2018
106287256,1,01/2018
1657926566,1,01/2018
449822035,1,01/2018
297397741,1,01/2018
920122256365199360,1,01/2018
58653711,1,01/2018
920122256365199360,1,01/2018
33880248,0,01/2018
986060978,1,01/2018
20821758,0,01/2018
12843902,0,01/2018
83588783,1,01/2018
882628362237292545,1,01/2018
353817988,0,01/2018
121128859,0,01/2018
4159048754,1,01/2018
20473084,0,01/2018
17463660,1,01/2018
1448591947,0,01/2018
2851586104,1,01/2018
303640627,1,01/2018
396971727,1,01/2018
1080256214,1,01/2018
1391894126,1,01/2018
2863853651,1,01/2018
209122985,1,01/2018
478568317,1,01/2018
4815112882,1,01/2018
2603370339,1,01/2018
51047330,1,01/2018
529792717,1,01/2018
529792717,1,01/2018
256965214,1,01/2018
2851586104,1,01/2018
51047330,1,01/2018
78549448,1,01/2018
78549448,1,01/2018
372889941,1,01/2018
836113336009801728,1,01/2018
104558241,1,01/2018
297397741,0,01/2018
297397741,0,01/2018
