author_id,sentiment,YM,model
21605324,1,01/2018,ALL
620859626,0,01/2018,ALL
297397741,0,01/2018,ALL
297397741,0,01/2018,ALL
1549668462,0,01/2018,ALL
297397741,1,01/2018,ALL
718804592973053952,0,01/2018,ALL
718804592973053952,0,01/2018,ALL
256965214,0,01/2018,ALL
106287256,0,01/2018,ALL
3575550372,1,01/2018,ALL
250543278,0,01/2018,ALL
256965214,0,01/2018,ALL
256965214,1,01/2018,ALL
256965214,1,01/2018,ALL
701037780831371265,1,01/2018,ALL
2866064621,0,01/2018,ALL
2866064621,0,01/2018,ALL
2866064621,0,01/2018,ALL
2866064621,0,01/2018,ALL
2866064621,0,01/2018,ALL
2866064621,0,01/2018,ALL
2866064621,0,01/2018,ALL
2866064621,0,01/2018,ALL
701207138,1,01/2018,ALL
330269032,1,01/2018,ALL
2845338172,1,01/2018,ALL
862246149448581121,0,01/2018,ALL
297397741,0,01/2018,ALL
297397741,0,01/2018,ALL
917014175506849797,0,01/2018,ALL
919859788015472640,0,01/2018,ALL
2329680300,0,01/2018,ALL
297397741,0,01/2018,ALL
297397741,0,01/2018,ALL
3877887200,1,01/2018,ALL
3877887200,1,01/2018,ALL
335439367,0,01/2018,ALL
66381016,0,01/2018,ALL
3774197720,0,01/2018,ALL
17463660,1,01/2018,ALL
359628368,1,01/2018,ALL
1132001222,0,01/2018,ALL
1132001222,0,01/2018,ALL
2800599859,0,01/2018,ALL
21082756,1,01/2018,ALL
3415655637,0,01/2018,ALL
245274881,0,01/2018,ALL
44111067,1,01/2018,ALL
297397741,1,01/2018,ALL
721590650563461120,0,01/2018,ALL
3151822850,1,01/2018,ALL
297397741,0,01/2018,ALL
718804592973053952,0,01/2018,ALL
22531173,0,01/2018,ALL
17155861,0,01/2018,ALL
718804592973053952,0,01/2018,ALL
245274881,0,01/2018,ALL
932136430301777920,0,01/2018,ALL
297397741,0,01/2018,ALL
397523467,1,01/2018,ALL
17921967,0,01/2018,ALL
3255730008,0,01/2018,ALL
16228337,0,01/2018,ALL
2356982959,1,01/2018,ALL
518238327,1,01/2018,ALL
2255220570,0,01/2018,ALL
3255730008,0,01/2018,ALL
16228337,0,01/2018,ALL
17463660,1,01/2018,ALL
376051531,1,01/2018,ALL
163168151,0,01/2018,ALL
33431328,1,01/2018,ALL
779050277324423169,1,01/2018,ALL
246984844,1,01/2018,ALL
264340308,0,01/2018,ALL
620859626,0,01/2018,ALL
297397741,1,01/2018,ALL
920122256365199360,0,01/2018,ALL
618596865,0,01/2018,ALL
35581158,0,01/2018,ALL
1289369408,0,01/2018,ALL
16501971,0,01/2018,ALL
8135702,1,01/2018,ALL
1093893686,1,01/2018,ALL
1970402894,0,01/2018,ALL
245274881,0,01/2018,ALL
15356879,1,01/2018,ALL
42002120,1,01/2018,ALL
3412763111,1,01/2018,ALL
12788212,1,01/2018,ALL
735478117,1,01/2018,ALL
83588783,1,01/2018,ALL
923279845102161922,1,01/2018,ALL
20715095,0,01/2018,ALL
17921967,0,01/2018,ALL
23424617,1,01/2018,ALL
163168151,0,01/2018,ALL
1308578156,0,01/2018,ALL
2937005427,1,01/2018,ALL
33840142,1,01/2018,ALL
913132725212733442,0,01/2018,ALL
799045513844817920,0,01/2018,ALL
775012176952233984,0,01/2018,ALL
3055512640,0,01/2018,ALL
826421749487108096,0,01/2018,ALL
29773589,1,01/2018,ALL
23204649,0,01/2018,ALL
2255220570,0,01/2018,ALL
2507799980,1,01/2018,ALL
21573897,1,01/2018,ALL
297397741,0,01/2018,ALL
932349867434893318,1,01/2018,ALL
888069629360222208,1,01/2018,ALL
1970402894,0,01/2018,ALL
1970402894,0,01/2018,ALL
49748405,1,01/2018,ALL
245274881,1,01/2018,ALL
893570035486150656,1,01/2018,ALL
527393291,0,01/2018,ALL
3019337285,0,01/2018,ALL
250657839,0,01/2018,ALL
884022229,0,01/2018,ALL
705771961054584833,0,01/2018,ALL
1632357366,0,01/2018,ALL
3185607673,1,01/2018,ALL
1648045988,0,01/2018,ALL
305362686,0,01/2018,ALL
4159048754,1,01/2018,ALL
888757075374768132,0,01/2018,ALL
2312176156,0,01/2018,ALL
297397741,0,01/2018,ALL
368471797,1,01/2018,ALL
921609360,0,01/2018,ALL
250543278,1,01/2018,ALL
854776158,1,01/2018,ALL
833669009551851524,1,01/2018,ALL
871675827343282177,1,01/2018,ALL
871675827343282177,1,01/2018,ALL
