author_id,tweet,nltk_outcome,bert_outcome
15586404,"Heyattendees want to learn howcan drive personalized user experience ? See the demo ofat our 

BTW you also have a chance to WIN $100 or $50 Amazon Gift Card. 

Follow instructions below
||
||
V ",1,1
856629860,"Digital IDs Are More Dangerous Than You Think





",0,0
16221225,Good idea: Honour of Kings usesto check ages ,1,1
2425836948,"Law Enforcement Agencies In India Are Using Artificial Intelligence To Nab Criminals -- Here's How

@Forbes ",0,0
32302688,"Learning to See Friendly Faces in Different Places

Meaningful social interactions train visual cortex neurons to recognize a familiar face in different visual locations.",1,1
861611791696228353,"Honour of Kings uses facial recognition to check ages. 
RT: @BBCWorld 

",1,0
216172921,"Metropolitan Transit Authority declined to share what company is providing the facial recognition technology which has prompted concerns by privacy groups.
",1,0
26498461, --likeregime- now U.S. corporations agencies seek increased routine use ofsuch as@CaliBurgerusa. R.E.A.L.:part of,1,0
2773584444,New Blog out for MoneyTech on&amp; . The next level...using your blood pressure to . Fun share.,1,1
1514162371,New Blog out for MoneyTech on&amp; . The next level...using your blood pressure to . Fun share.,1,1
1018723811993112577,A lawsuit has been filed against Wendys for not being transparent with thedata it collects from employees.,0,0
19925449,New Blog out for MoneyTech on&amp; . The next level...using your blood pressure to . Fun share.,1,1
983669933111312384,Imagine you be in a place like this in China and theis still be able to point you out... ,1,1
365877674,Cool article discusses current state offacial recognition and explores several potential use cases.,1,1
546313843,🧑🏻How to Make Facial Recognition Smarter With Artificial Intelligence@JeffreyBuskey @David_Worley1 @MikeQuindazzi @DioFavatas @alvinfoo ,1,0
928395814208180224,"This is also relevant when talking about . It's on the one hand the tech gathering the data on the other what thatis compared to: 
""The new database will also include sensitive information on victims as well as those who have been cleared of wrongdoing"" ",1,1
937777290846412800,Now is the time for a realistic discussion of how to harness the potential forauthentication to ensure its continued development includes safeguards and seizes opportunities.,1,1
245235268,"New Blog out for MoneyTech on&amp; . The next level...using your blood pressure to . Fun share.
",1,1
365584122,"Another nice article describing our new technology!

",1,1
261006468,Now is the time for a realistic discussion of how to harness the potential forauthentication to ensure its continued development includes safeguards and seizes opportunities.,1,1
24204193,"China plans to be a world leader in Artificial Intelligence by 2030

 ",1,1
275382895,@Sitecore Introducing “Xtremewith ”. We pairedwith‘s already robust personalization. Experience it in,1,1
151837602,"One of China's most popular video games is testing the use of facial recognition to check users' ages.


 ",1,1
735454392648896512,"Honour of Kings uses facial recognition to check ages
",1,1
15785718,We will be inin less than a week for !@NEC's NeoFace Express is one of thetechnologies we will be showcasing during the 3 day event. Stop by Boothfor info and demos.,0,1
863006407112765441,Tencent leading the way with innovation limiting playing time for younger players. Not a perfect solution but a significant sign of good faith from the world's biggest gaming company! Good work!,1,1
4166755647,"""You may be comfortable using it to unlock your phone — but would you be comfortable if it were used to track your attendance at school? Or by governments to deem your trustworthiness?""

",1,0
63276248,"""In the last month Kairos [ @LoveKairos] turned down a government request from Homeland Security seekingsoftware for people behind moving cars"". via ""Unbiased algorithms can still be problematic"" @TechCrunch",0,0
2895535734,Making Facial Recognition Smarter With Artificial Intelligence@David_Worley1 @MikeQuindazzi @DioFavatas @alvinfoo ,1,1
1041452573323157504,MarTech Today: Scott Brinker’s ‘Four Forces’ Findera’s search engine for business pros &amp; 50 million hacked Facebook accounts,0,0
36912323,MakingSmarter With Artificial Intelligence,1,0
370635472,"One of China's most popular video games is testing the use of facial recognition to check users' ages.


 ",1,1
37314896,This week at&amp;Symposium learn all about Identity Management and Biometric Recognition with @visionbox VP for Business Innovation Richard Camman. Global Airport &amp; Passenger Symposium is hosted by @IATA.,1,1
721590650563461120,"How biometrics reduce your customers’ expenses and boost your revenue 
Read more:
",1,1
50636347,Don’t ban : regulate it to provide the right safeguards. @BillMew explains that it's not realistic to seek to ban the technology. Instead we need to ensure that there are safeguards in place for its responsible and ethical use,1,0
841964200729681920,"Making Facial Recognition Smarter With Artificial Intelligence

 ",1,1
2482107702,@AlibabaGroup's Fliggy isn't the onlyplatform looking at . @rival a startup from tech entrepreneur @NathanCHubbard will explore the option in the interest of venue security also hoping to curtail fraud.(via @Recode) ,1,0
54353031,"Delta Air Lines is launching what it calls the first ""biometric terminal"" in the US. The airline will use facial recognition at check-in security and boarding.",1,1
2251577246,"Facial recognition is becoming the new normal.

""One of China's most popular video games is testing the use of facial recognition to check users' ages""",1,1
2668924080,"It finally happened the feds forced an Apple iPhone X owner to unlock their device with their face.
",0,0
974633463805612032,Making facial recognition smarter with Artificial Intelligence,1,1
1355236075,"Facial recognition making our life a bit (o a lot) easier. 

",1,1
3746146273,"Making Facial Recognition Smarter With Artificial Intelligence via @forbes
",1,1
137065600,“2018 is 1984: The Last Free Generation”,1,1
1029957725592211457,We are trying to figure out theclaims &amp; ethical issues which can arise from the misuse of@Claims_IG_CPCUs @zone3man ,1,0
836272957,Why Amazon’s facial recognition system should worry you:,0,0
990899576734453760,"Forget about the traffic stressful work and business meetings today be happy that the sun is shining and stay positive. Happy Monday!
",1,1
1020278236931149824,Now is the time for a realistic discussion of how to harness the potential forauthentication to ensure its continued development includes safeguards and seizes opportunities.,1,1
205109688,Are More Dangerous Than You Think,0,0
21899812,There’s a diff betw usingto identify a food object andto determine whether a face match should warrant considering any law enforcement action. The latter is serious business and requires much higher confidence levels @awscloud ,1,0
17973288,Now is the time for a realistic discussion of how to harness the potential forauthentication to ensure its continued development includes safeguards and seizes opportunities.,1,1
1672607832,"SMART HOME SMART LIVING!

LILIN facial recognition system identifies family members and triggers corresponding events or actions like door control or sends notifications to mobile apps completes an integrated IoT ecosystem.


 ",1,1
22059199, is offering schools a new free security tool:software. But as the technology moves further into public spaces it's raising privacy concerns and calls for—. ,1,0
3169916217,Hardware driven bysolutions projected to reach $115.4 billion by 2025! &gt;&gt; @tractica via @MikeQuindazzi &gt;&gt;&gt;&gt;,1,0
1652632129,Unbiased algorithms can still be problematic: Creating unbiased accurate algorithms isn’t impossible — it’s just time consuming. “It actually is mathematically possible”startup Kairos CEOtold me on a panel at…,0,1
2181411536,"To be unveiled in 2019 the revamped Funan Mall will be powered by an ecosystem of sensors data analytics and facial recognition technology to better understand consumers' shopping preferences.


",1,1
518238327,ICYMI @NEC VP sees critical period of publicdeployments and debate over next 24 months ,0,0
26498461,"&amp;tools designed to determine who getsfor- designed by companies like @HireVue - using AI non- -- R.E.A.L.:part of
 ",1,0
14056672,The @FBI Forced A Suspect To Unlock HisWith His Face.- Futurism ,0,0
262628094,"“Facial recognition is a trusted authentication method because of its ease of use and difficulty to fool.""
Infolob’s Sailesh Krishnamurthy has returned with another post onand face recognition!
",1,1
77312459,"interested in finding out what the future holds forgovernments? Join our webinar TOMORROW: ""True Identity: The Biometric Government of Tomorrow""3@NEC @IrisID",1,1
1008681429423837185,"@method_inc Introduces FINE Empathy Engine: A Platform for Trackingby @BusinessWire 
rt @josh_newnham 
",1,1
917565837027950592,"Making Facial Recognition Smarter With Artificial Intelligence

via @Forbes 



",1,1
376335847,ICYMI: Did you know that Artificial Intelligence is helping to make facial recognition smarter? Forbes sheds more light on this fact. Read more:,1,0
887422567346126848,"The most Amazing Tools to Increase your Instore Conversion Now 
 

",1,1
1184951,"Wonder if other mainstream social media platforms (Facebook Instagram Snapchat whereunder 13 are supposed to not have accounts) could/should use in a similar way. ""Honour of Kings uses facial recognition to check ages”",1,0
1037645494472921089, using shelf technology to improve brick and mortar retail sales,1,0
480771906,"Originally featured at our booth at Microsoft Inspire our AI Emoji game is now free for anyone to try! Our developers used Microsoft Azure Face API and Face++ to build this fun game. 
Read more and give it a try here: 
",1,1
77312459,. @CamviBiometrics deatiled how artificial intelligence could be used to enhancetechnologies such asand led a workshop onand deep learning inat last week'sin Tampa.,1,0
77312459, quickly becoming a driving force in theindustry with companies like @Visteon at the wheel.@MobileIDWorld ,1,1
365877674,Cool article discusses current state offacial recognition and explores several potential use cases.,1,1
72665057,@davidshipley @AnnCavoukian Mass surveillance is now feeding voraciously off the burgeoningsoftware as well with crowd or street cameras interacting directly with facial recognition software. Potential for political/LE subversive acts is enormous.,1,0
705868204325806080, Honour of Kingsone of China's most popularis usingto check ages. A year ago the game's publisher announced a restriction to limit under-12s to one hour of gameplay a day and ...,1,0
25376730,New NV DUI Law Mandatory Vehicle “” With “”,1,0
968981132816478208,Turn off Facebook's facial recognition feature in 5 easy steps:|,1,0
996785311286898688,ACMLarry: Score One for Privacy: Researching ways to block facial recognition software.,0,0
820053577053929474,A very interesting comparison of facial recognition APIs and their application.,1,1
1152015530,Score One for Privacy: Researching ways to block facial recognition software.,0,0
4166755647,"""If a person's device isn't locked to begin with there's no barrier at all to getting access legal or otherwise. So you might as well slap a passcode on there.""",1,0
1735172144, quickly becoming a driving force in theindustry with companies like @Visteon at the wheel.,1,1
21606837,BBC News - Honour of Kings uses facial recognition to check ages,1,1
1309531207,My Nest Cam IQ Outdoor has captured quite a few things since I got it installed including thesegems 😂 ,1,1
