author_id,tweet,nltk_outcome,bert_outcome
2906580072,Does San Francisco's Ban onMean You Should Run From Face-Based(@Jumio),0,0
16119487, police have been usingfor over a year. San Francisco just banned it.,0,0
926472937745604608,"Did you hear about 's recent ban on the use ofbyagencies? Take a look at ourpost on the subject. 
 ",0,0
40028364,The Creeping threat of :,0,0
1379292876,In 2006 I wrote a paper on- about how the border becomes carried by the body.technology twins immigration control with policing of women’s bodies. It will drive the most vulnerable to the riskiest spaces. ,0,1
701609524038389764,These past &amp; present chronicles of injustice highlight howsystems can disproportionately harm ppl already historically subject 2 profiling &amp; abuse inclPOC political activists &amp; the formerly incarcerated. ,0,1
369701707,“The Best Reason for Your City toby Will Oremus ,1,1
53375482,"""Technavio has predicted the 3D facial recognition market will grow by 36 percent from 2018 to 2022"" - @BiometricUpdate 



Read@to learn the growth prospects of 3Dmarket.""",1,1
2867697950,I am happy to be one of25 African innovators selected for the inaugural class of female founders from across the continent.🙏🙏 @_WomEng@bacehq @TheAIBook,1,1
15221598, To Be Deployed At Top 20 US Airports -- Should You Be Concerned?(Forbes),1,0
1014189106828660738,Tech backlash begins? San Francisco to ban facial recognition,0,0
72665057,"@AnnCavoukian So true. And in addition to getting better informed through excellent books like the one Dr. Cavoukian recommended whenever possible ID the specific gov't agency that's using/misusingappsorcollections. Not ""them"" ID out of shadows.",1,1
18068926,"San Francisco has become the first U.S. city to ban police use of facial recognition tech by @tictoc

""It's psychologically unhealthy"" says Supervisor @AaronPeskin


 ",0,0
600285139,"Looking atand it's teachers' and students' legacies is helpful when considering new tech likeEvenWhat will be the impact? 
Does it generate winners &amp; losers? Could impacts occur generation later?",1,0
256965214,""" wrongly identifies public as potential criminals 96% of time"" 

Disappointing to see the media still widely misrepresenting the stats.

Learn what they really mean here:


 

@lizziedearden @Independent",0,0
1011170203957432320,"Simple tricks to deter burglars while you are on holiday.

For details Call: +91 9830041251 / +91 9748403828

",1,0
14304930,One of the cool things about the San Franciscoban is that the police basically weren’t using it. So you’ve stopped a potentially bad future thing from happening (good) while “somehow” everyone seems to think you’ve stopped the many current dystopian uses.,0,1
18843840,’s Many Controversies From Stadium Surveillance to Racist Software ,0,0
373535661,"Facial recognition needs diversity as well. We need to be cognitive about the inequity and injustice it may lead to.
@BeingSafayat",0,0
1112176809834135552,"Apple wins patent for automatic retrying of a failed facial recognition authentication process 

",1,0
20895618, Technology Ban for Police Is Important but Not Enoughvia @YouTube,0,0
375046603,.@guardian usage in an article on(lots of interest in this subject) picture taken at .@metpoliceuk trial inthanks to .@AlamyNews&amp; .@alamy,1,0
1105076086348701696,"There sure is a lot of interest in what we are doing in thespace!
",1,1
4891894462,AndAre Battling To SellTechnology In Dubai ,0,1
808051518242979841," created by researchers at @techreview pulls off a staggering feat:!!

By analyzing only a short audio clip of a person’s voice it reconstructs what they might look like in real life.

@craigbrownphd @evankristel @IBMAnalytics 
",1,0
91349543,What do you understand about the words World Wide Web or Internet? Read share comment :,1,0
2990402052,Privacy advocates sound warning on Toronto police use of facial recognition technology @CBCPLS via @CBC |,0,0
718804592973053952,"GAO: Verify the accuracy of yoursystem that holds about 30 million images.
DOJ: No our internal testing is sufficient.
GAO: Your testing does not report false positive rates; your tests are incomplete and insufficient.
 @BiometricUpdate",0,0
552611280,"Amazon wants you to know that its facial recognition software can be used to monitor a woman’s smile percentage. 

This software is already being using by police forces and private corporations across the nation. 

 ",1,0
55299467,Scary on one hand and exciting possibilities on the other - depends on how the data is used.,1,1
