author_id,created_at,text,YM,nltk_sentiment,bert_sentiment,sklearn,sklearn_gov
2866064621,2018-01-02T15:44:53.000Z,"Government blamed for 'sharp rise in shoplifting' by retailersvia @MailOnline
",01/2018,0,0,0.1,0.1
718804592973053952,2018-01-03T06:33:34.000Z,Report questions necessity effectiveness of Homeland Security biometric exit program’s facial scans | BiometricUpdate,01/2018,1,0,0.1428571428571428,0.07142857142857142
1289369408,2018-01-04T05:28:03.000Z,Thailand to use facial recognition in Safe City projectvia @Enterprisei,01/2018,1,0,0.3,0.1
1970402894,2018-01-05T06:09:19.000Z,@NSAGov @FBI Commercial businesses surveillance &amp; . No clone has an after effect of that. I Am Not A Clone ,01/2018,0,0,0.1,0.05
871675827343282177,2018-01-08T18:07:13.000Z,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",01/2018,1,1,0.1176470588235294,0.058823529411764705
834844187325513734,2018-01-08T18:05:17.000Z,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",01/2018,1,1,0.1176470588235294,0.058823529411764705
32457148,2018-01-08T18:05:17.000Z,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",01/2018,1,1,0.1176470588235294,0.058823529411764705
156396195,2018-01-08T08:24:43.000Z,"In China the police and security state have been the most enthusiastic about embracingtechnology. It's giving the government ""a sense that it can finally achieve the level of control over people's lives that it aspires to."" ",01/2018,1,1,0.1111111111111111,0.08333333333333333
22005371,2018-01-08T01:17:29.000Z,Fascinating story. A police state and abuse to be avoided.bets onin big drive for total surveillance.,01/2018,0,0,0.125,0.1875
256965214,2018-01-09T13:50:50.000Z,Interesting to peruse Surveillance Camera Report by @surcamcom,01/2018,1,1,0.25,0.125
20821758,2018-01-11T22:08:03.000Z,"‘Adversarial glasses’ can fool even state-of-the-art facial-recognition tech



",01/2018,0,0,0.375,0.125
19285531,2018-01-15T20:41:06.000Z,"@EPICprivacy urges @SenateJudiciary @ChuckGrassley @SenFeinstein @DHSgoc to protect state voter data DACA applicant personal data and reviewat borders. ""EPIC Urges Senate to Seek Assurances from DHS on Privacy of Voter Data""",01/2018,1,0,0.1290322580645161,0.03225806451612903
563935238,2018-01-15T18:17:00.000Z,At best facial recognition is suited for identification; not for authentication not for authorization.,01/2018,1,0,0.2142857142857142,0.14285714285714285
1132795518,2018-01-16T08:30:15.000Z,Experts sound alarm as biometric data from drivers' licences added to Australian government database@abcnews ,01/2018,0,0,0.1428571428571428,0.07142857142857142
889506511004721153,2018-01-16T03:08:12.000Z,People Should Start Using Anti Facial Recognition System. Sooner We Adopt It Better It Would Fight @_Orwellian Projects Like . Privacy Visor Glasses Reflectacles Specific Haircuts And Make Up Patterns Etc Can Be Used To DefeatSays @_PTLB. @_CEPHRC ,01/2018,1,0,0.1052631578947368,0.02631578947368421
895507798074605569,2018-01-17T05:33:08.000Z,People Should Start Using Anti Facial Recognition System. Sooner We Adopt It Better It Would Fight @_Orwellian Projects Like . Privacy Visor Glasses Reflectacles Specific Haircuts/Make Up Patterns Etc Can Be Used To DefeatSays @_PTLB. @FacialMatch ,01/2018,1,0,0.1111111111111111,0.027777777777777776
2928530227,2018-01-17T05:19:57.000Z,People Should Start Using Anti Facial Recognition System. Sooner We Adopt It Better It Would Fight @_Orwellian Projects Like . Privacy Visor Glasses Reflectacles Specific Haircuts/Make Up Patterns Etc Can Be Used To DefeatSays @_PTLB. @FacialMatch ,01/2018,1,0,0.1111111111111111,0.027777777777777776
721590650563461120,2018-01-18T14:00:38.000Z,"Biometric Border Security Comes to the City in Phuket Project

 ",01/2018,1,1,0.1,0.2
920122256365199360,2018-01-18T08:06:00.000Z,NEC biometric security trials with Singapore government completed successfully.. test early detection of suspicious behavior identify Persons of Interest (POI) in both indoor and outdoorenvironments...@NEC ,01/2018,1,1,0.12,0.04
833966641935478784,2018-01-18T07:43:12.000Z,"Edmonton International Airport began testing customer service robots with facial recognition capabilities and touch screens to help passengers access information.
",01/2018,1,0,0.2,0.05
2356982959,2018-01-19T20:02:26.000Z,Chinese government usesto alert authorities to individual’s movements ,01/2018,1,0,0.125,0.25
