author_id,tweet,nltk_outcome,bert_outcome
861611791696228353,"Honour of Kings uses facial recognition to check ages. 
RT: @BBCWorld 

",1,0
216172921,"Metropolitan Transit Authority declined to share what company is providing the facial recognition technology which has prompted concerns by privacy groups.
",1,0
26498461, --likeregime- now U.S. corporations agencies seek increased routine use ofsuch as@CaliBurgerusa. R.E.A.L.:part of,1,0
546313843,🧑🏻How to Make Facial Recognition Smarter With Artificial Intelligence@JeffreyBuskey @David_Worley1 @MikeQuindazzi @DioFavatas @alvinfoo ,1,0
15785718,We will be inin less than a week for !@NEC's NeoFace Express is one of thetechnologies we will be showcasing during the 3 day event. Stop by Boothfor info and demos.,0,1
4166755647,"""You may be comfortable using it to unlock your phone — but would you be comfortable if it were used to track your attendance at school? Or by governments to deem your trustworthiness?""

",1,0
36912323,MakingSmarter With Artificial Intelligence,1,0
50636347,Don’t ban : regulate it to provide the right safeguards. @BillMew explains that it's not realistic to seek to ban the technology. Instead we need to ensure that there are safeguards in place for its responsible and ethical use,1,0
2482107702,@AlibabaGroup's Fliggy isn't the onlyplatform looking at . @rival a startup from tech entrepreneur @NathanCHubbard will explore the option in the interest of venue security also hoping to curtail fraud.(via @Recode) ,1,0
1029957725592211457,We are trying to figure out theclaims &amp; ethical issues which can arise from the misuse of@Claims_IG_CPCUs @zone3man ,1,0
21899812,There’s a diff betw usingto identify a food object andto determine whether a face match should warrant considering any law enforcement action. The latter is serious business and requires much higher confidence levels @awscloud ,1,0
22059199, is offering schools a new free security tool:software. But as the technology moves further into public spaces it's raising privacy concerns and calls for—. ,1,0
3169916217,Hardware driven bysolutions projected to reach $115.4 billion by 2025! &gt;&gt; @tractica via @MikeQuindazzi &gt;&gt;&gt;&gt;,1,0
1652632129,Unbiased algorithms can still be problematic: Creating unbiased accurate algorithms isn’t impossible — it’s just time consuming. “It actually is mathematically possible”startup Kairos CEOtold me on a panel at…,0,1
26498461,"&amp;tools designed to determine who getsfor- designed by companies like @HireVue - using AI non- -- R.E.A.L.:part of
 ",1,0
376335847,ICYMI: Did you know that Artificial Intelligence is helping to make facial recognition smarter? Forbes sheds more light on this fact. Read more:,1,0
1184951,"Wonder if other mainstream social media platforms (Facebook Instagram Snapchat whereunder 13 are supposed to not have accounts) could/should use in a similar way. ""Honour of Kings uses facial recognition to check ages”",1,0
1037645494472921089, using shelf technology to improve brick and mortar retail sales,1,0
77312459,. @CamviBiometrics deatiled how artificial intelligence could be used to enhancetechnologies such asand led a workshop onand deep learning inat last week'sin Tampa.,1,0
72665057,@davidshipley @AnnCavoukian Mass surveillance is now feeding voraciously off the burgeoningsoftware as well with crowd or street cameras interacting directly with facial recognition software. Potential for political/LE subversive acts is enormous.,1,0
705868204325806080, Honour of Kingsone of China's most popularis usingto check ages. A year ago the game's publisher announced a restriction to limit under-12s to one hour of gameplay a day and ...,1,0
25376730,New NV DUI Law Mandatory Vehicle “” With “”,1,0
968981132816478208,Turn off Facebook's facial recognition feature in 5 easy steps:|,1,0
4166755647,"""If a person's device isn't locked to begin with there's no barrier at all to getting access legal or otherwise. So you might as well slap a passcode on there.""",1,0
