author_id,created_at,text,score
1010693567310979078,2019-08-01T23:53:39.000Z,Bringingto another level! Using lasers to blindcameras was unheard of. So far. ,neu
4859232854,2019-08-01T22:42:23.000Z,London bar uses facial recognition to help staff know who to serve first,POSITIVE
75673231,2019-08-01T22:16:53.000Z,"If you ignore a signal in China the system will warn you with voice &amp;software and probably a picture will be register in Government database via @enricomolinari



@MikeQuindazzi @Ronald_vanLoon @kashthefuturist @alvinfoo @evankirstel @psb_dc ",NEGATIVE
702753113447464961,2019-08-01T22:09:51.000Z,is already taken seriously in,NEGATIVE
111050337,2019-08-01T21:54:22.000Z,"California Police Are Sharing Facial Recognition Databases to ID Suspects

",POSITIVE
818614,2019-08-01T21:45:03.000Z,"🤔 Sentiments Toward Retail Facial Recognition [CHART]

Half of US internet users have concerns about facial recognition according to data from The Brookings Institution. 👇


",neu
13686822,2019-08-01T21:31:44.000Z,@biancawylie This is a good video watch. Instructive. This is Sidewalk Labs’ vision ofIs this what we have in store for rental &amp; affordable housing in Toronto if Google gets their way?Note use of ,POSITIVE
57407600,2019-08-01T21:06:00.000Z,"Children as Young as 11 Added toDatabase
",neu
9011962,2019-08-01T21:03:58.000Z,With all the talks about facial recognition and ways to avoid detection etc think about this. Pentagon now has tech that uses an infrared laser to ID you based on your unique heart rate. We can’t avoid the tech it’s about policies.,POSITIVE
1125912657066909696,2019-08-01T21:02:40.000Z,As I've said before facial recognition technology has its upside for law enforcement. But it's not ready for prime time yet. More testing is needed. @ACLU @nytimes @NYPoliceDP,NEGATIVE
1206374840,2019-08-01T20:59:45.000Z,"Fantastic piece on the use ofby the Met police the blurry lines between public and private sector legal crux of knowing what and how to regulate it layering ofinfra with new surveillance dimensions and much more.
@madhumita29
",POSITIVE
510411571,2019-08-01T20:40:16.000Z,"As @NYPDDetectives said NYPD usingtech on 11 year olds may constitute ""doing everything to fight crime"" but it does ABSOLUTELY NOTHING to protectsafety &amp; civil liberties of kids. @NYCSpeakerCoJo &amp; @NYCCouncil could do that... if they pass",POSITIVE
6312372,2019-08-01T20:39:59.000Z, to tell pub staff who's next in queue for pint ,neu
217157657,2019-08-01T20:37:30.000Z,"@Portland_Beer @susie_c I think delicatessen take-a-ticket systems are just as effective and considerably less expensive. 



",POSITIVE
971470774191173632,2019-08-01T20:30:08.000Z,"Put your best face forward - learn how facial recognition software can improve your next event.👤 👤 👤 

",POSITIVE
15343804,2019-08-01T20:22:56.000Z,@PickardJE “Hide your face and hope not to get fined for hiding it”,POSITIVE
233427213,2019-08-01T20:19:09.000Z,Ahhhh not to mention schools which are already effing that up on a state by state basis,neu
2903980267,2019-08-01T20:00:14.000Z,Cambridge Massachusetts could be the fourth city to ban local government from using facial recognition.,NEGATIVE
1047147092798509057,2019-08-01T19:50:08.000Z,"Might be too late forto delete 10 million-imagedatabase as its data and tools are already widely available on Internet. 

",neu
510411571,2019-08-01T19:49:02.000Z,You have got to be kidding me! @NYPDnews is usingon kids as young as 11 even though tech does not work well on young faces (&amp; @NYCMayor knew it). NYPD use of surveillance needs to be reigned in now! NYC needs to pass,NEGATIVE
899626842784759809,2019-08-01T19:47:10.000Z,"AI bar system ignores jerks who cut in line for drinksvia @engadget






",NEGATIVE
135558137,2019-08-01T19:40:03.000Z, Touts Its Ethics—Then Invests In Israeli‘Spying On Palestinians’. Learn more about it below!,NEGATIVE
1128274279072550912,2019-08-01T19:37:38.000Z,@alessabocchi I read that juggalo makeup works too..,neu
14201782,2019-08-01T19:36:32.000Z," in the bar? Not sure that havingapplied while queuing for a drink is quite my cup of tea. 

",NEGATIVE
255050920,2019-08-01T19:32:10.000Z,"1/2
 :
Whom does theof a human body/face belong to?
To the ones in charge who rule? And use?
Or to the human being on the image?
 screwedfor all

@Xavier75 @laquadrature ",neu
130806148,2019-08-01T19:13:23.000Z,Howbecame a test case for usingin democracies ,neu
382376904,2019-08-01T19:13:04.000Z,Companies that makeare already trying to claim that they can predict your emotions or predict future crimes based on your facial expression. We've all seen this movie and it doesn't end well. ,NEGATIVE
18843840,2019-08-01T19:11:10.000Z," is used for everything these days but thisis so neat its still in use today. Dr Mike Pound on the . 

",POSITIVE
1735172144,2019-08-01T19:05:14.000Z,". @jumio is celebrating the largest sales quarter in the company’s history after sales jumped 45 percent over the same quarter one year ago.



",POSITIVE
567614234,2019-08-01T18:55:37.000Z,"""Designers hope the system will help stem the current worrying epidemic of pub closures..""

Anyone that seriously thinks deployingin pubs will keep them in business is just drunk on delusion

This is just stupid wrong on so many levels

",NEGATIVE
2360426665,2019-08-01T18:53:43.000Z,NEW: August Policing Updates Newsletter ( Featuring news onin law enforcement new publications resources for agencies &amp; more. Sign up for our mailing list to receive our monthly newsletter:,neu
91109381,2019-08-01T18:50:04.000Z,"Aureus 3D allows for recognition of VIPs to provide a luxury experience. Face matching provides Hospitality with an opportunity to ensure that high touch service that clientele expect.

Read more: 

",POSITIVE
1072508497,2019-08-01T18:48:02.000Z,"""[S]ocietal bias towards a certain type of crime and criminal will impact who will be subjected to thesystems. Noproperty can account for this societal bias"":h/t @vdignum",NEGATIVE
101067053,2019-08-01T18:34:56.000Z,@bbw1984How does this result in faster serving of beer ? Everyage / ID check challenge will take at least 2 minutesslowing down service for other customers. How is the queue management superior to e.g. a paper queue ticket number / digital display ?,POSITIVE
2394498976,2019-08-01T18:25:48.000Z,"Unacceptable. 

Thehas been loading thousands of arrest photos of children and teenagers into a facial recognition database with some as young as 11.

",NEGATIVE
2738012154,2019-08-01T18:18:13.000Z," debuts's



@archonsec @alvinfoo @guidodeckstein @UrsBolt @stratorob @Fabriziobustama @enricomolinari @xbond49 @Damien_CABADI @albertogaruccio @oluskayacan ",neu
112342908,2019-08-01T18:05:46.000Z,“Face recognition wasn’t seeing her so @jovialjoy put on a white mask and it did” We have to change that. So @jovialjoy started the @AJLUnited to tackletech bias. - @smithmegan during her talk @insightpartnersleadership summit ,NEGATIVE
77312459,2019-08-01T18:05:12.000Z,". @jumio celebrates largest sales quarter in the company’s history. 



 ",POSITIVE
1735172144,2019-08-01T18:05:12.000Z,". @FacePhi finds yet another partner for its onboarding services in Argentina. 



",neu
1051543202,2019-08-01T18:05:06.000Z,UNCOMFORTABLE SITUATIONS ..can include tactics used to obtain an object'sdata * ,NEGATIVE
16470531,2019-08-01T18:01:20.000Z,.@elasticpath is sharing the secrets of the— they have high expectations for brands in 2020. They wantSMS buyingand more:,POSITIVE
1072508497,2019-08-01T17:58:56.000Z,"""The New York Police Department has been loading thousands of arrest photos of children and teenagers into adatabase despite evidence the technology has a higher risk of false matches in younger faces"":",NEGATIVE
1051543202,2019-08-01T17:58:07.000Z,&amp; THE SYSTEMSCENTERS ARE REPORTEDLY STRIVING TO IMPROVE ... They're needed asassistance depositaries **,POSITIVE
139593662,2019-08-01T17:55:12.000Z,We need tonow on gov't use oftechnology! The technology isn't ready and we need regulations in place to protect theandof children and adults! @ACLU_Mass ,POSITIVE
171517197,2019-08-01T17:40:02.000Z,Face Facts: SIA dispells common myths regardingtechnology:,neu
1124659172870696961,2019-08-01T17:26:38.000Z,Children as Young as 11 Added to N.Y.P.D. Facial Recognition Database,neu
233427213,2019-08-01T17:23:36.000Z,Where are the checks here.needs regulation. ,neu
