author_id,created_at,text,score
30833130,2019-01-01T17:57:56.000Z," &amp;Discuss Sale ofWithDiplomatic Source Says
In the talks Israel has not limited the use of its drones. In exchange for help with domestic securityhopeswill move embassy to .
 ",POSITIVE
30833130,2019-01-01T17:57:24.000Z,"@SecPompeo @jairbolsonaro&amp;Discuss Sale ofWithDiplomatic Source Says
In the talks Israel has not limited the use of its drones. In exchange for help with domestic securityhopeswill move embassy to .
",POSITIVE
968981132816478208,2019-01-01T17:00:10.000Z,Turn off Facebook's facial recognition feature in 5 easy steps:|,POSITIVE
15221598,2019-01-01T15:14:24.000Z,Microsoft calls for regulation ofsaying it's too risky to leave to tech industry alone.(Washington Post),NEGATIVE
135440751,2019-01-01T15:02:22.000Z,"The tops &amp;bottoms ofaccording to@verge report cards in 2018

",POSITIVE
1055454672050364416,2019-01-01T12:56:30.000Z,"wow!!! that's something really very awesome!!!!😍👏👏👏
",POSITIVE
167359486,2019-01-01T12:30:00.000Z,2018 saw many first's when it came to the use ofand nowhave won a legal battle over the use of . ,POSITIVE
2867697950,2019-01-01T10:24:02.000Z,"Happy new year we wish you all the best and to know your clients betterthrough BACE API.
Join us in2019
👉 
",POSITIVE
50636347,2019-01-01T09:05:16.000Z,'@Google wins dismissal oflawsuit overact - @verge,POSITIVE
2879313798,2019-01-01T08:30:06.000Z,Top 10 Event Technology Trends for 2019. Read Here:,POSITIVE
151381533,2019-01-01T08:24:06.000Z,"Popsugar Twinning App Was a Privacy Disaster Waiting to Happen
",NEGATIVE
19915991,2019-01-01T08:10:28.000Z," to Spark Lively Debate in 2019
 ",POSITIVE
758678,2019-01-01T07:45:01.000Z, PiP Facial Recognition Technology Helps Find Lost Pets,POSITIVE
816273673162289152,2019-01-01T03:59:06.000Z,"MikeQuindazzi:leverages ""social scores"" to reward and or punish citizens &gt;&gt;&gt; MikeQuindazzi &gt;&gt;&gt;",POSITIVE
967541386517020674,2019-01-01T02:48:23.000Z,"Happy New Year from Japan!

In 2019 I’m determined to do more education &amp; outreach in our society related seriousissues created bynot just in Japan/USA but in the world before too late &amp; damages more human lives safety economy.",POSITIVE
298704683,2019-01-01T02:03:02.000Z,"The Dangers ofin 2019 



 ",NEGATIVE
83588783,2019-01-01T02:00:33.000Z,Celebrities are usingfor security at their events to keep threats away. More from @nytimes here: ,NEGATIVE
816273673162289152,2019-01-01T01:12:24.000Z,"MikeQuindazzi:leverages ""social scores"" to reward and or punish citizens &gt;&gt;&gt; MikeQuindazzi &gt;&gt;&gt;",POSITIVE
252882579,2019-01-01T01:10:03.000Z,This Napoleonic Soldier Survived For Two Months With Horrific Facial Wound Following 1812 Battle,NEGATIVE
28374767,2019-01-01T01:07:51.000Z,"Also your DNA... 
Don't give up your info so easily people.
All of these will be weaponized against us.
 
 ",POSITIVE
259480899,2019-01-02T22:58:12.000Z,Here we goThis is inventive but also arguably an example of over engineering tech solutions. Are we using anpowered hammer to crack a walnut?,NEGATIVE
374558743,2019-01-02T21:52:32.000Z,"Face it - you need to know when a suspected cheater or high roller enters your casino. Its time to integrateinto your surveillance system.

 ",NEGATIVE
1066392391987412995,2019-01-02T21:41:40.000Z,CfP for Big Data &amp; AI Conference is now open. Presentations onare welcome. Complete the CfP at ,POSITIVE
205117304,2019-01-02T21:13:23.000Z,"RT Ronald_vanLoon: Understand these 5 basic concepts to sound like aexpert 
 by TDataScience aaronedell |

Read more at 



cc: randal_olson …",POSITIVE
82544902,2019-01-02T20:54:56.000Z,"Bad news:againstover itstechnology is dismissed. Apparently ""Face templates are created automatically when Google's users uploaded photos to their Google Photos cloud storage service"" (w/o user consent)",NEGATIVE
819861340294524928,2019-01-02T20:40:33.000Z," turns toto combat public housing abuses @SCMPNews 
",NEGATIVE
2848442307,2019-01-02T19:45:39.000Z,"One of the main problems – besides the obvious privacy violations and smashing the 4th amendment to smithereens – is thathas been abysmal so far
",NEGATIVE
97043520,2019-01-02T18:52:49.000Z,Beijing uses face-detecting smart locks to curb public housing abusesvia @engadget,POSITIVE
717063517904306176,2019-01-02T18:46:35.000Z,capabilities to augment password access- fingerprint -- recommend use of- ,POSITIVE
771932239278010373,2019-01-02T18:40:00.000Z,"The software will be capable of recognizing tenants and that’s not all.
",POSITIVE
745415412838457344,2019-01-02T17:19:00.000Z,In this short video @thoughtworksdeveloper Angelica Perez overviews how they createdfor @RIOTAIfilm 's emotionally responsive,POSITIVE
157075236,2019-01-02T16:32:58.000Z,"TODAY: Welcome To The Machine 2.0 +
",POSITIVE
108404527,2019-01-02T16:32:17.000Z,"R U talking 2 Me? :How does the Brain 🧠 Learn by Talking to Itself? . : mimicking natural intelligence
by @UNIGEnews",POSITIVE
913128578081947649,2019-01-02T15:58:57.000Z,"""Tech companies may now be more free to use facial recognition technology without your consent.""",POSITIVE
1245783738,2019-01-02T15:02:28.000Z,Smart cities and AI: apocalypse or opportunity?by @Sooraj_Shah for @hackandcraft@Paramel @Apple @awscloud @Terencecmtse @ESCPeurope ,POSITIVE
3300913889,2019-01-02T14:36:37.000Z,Google wins biometric data privacy case&amp;Insights,POSITIVE
3305615771,2019-01-02T14:33:03.000Z,Google wins biometric data privacy case&amp;Insights,POSITIVE
196736102,2019-01-02T14:01:41.000Z,"What would ancode of ethics even look like?
Questions I didn’t know to even ask until now.



",POSITIVE
862702317912686592,2019-01-02T13:31:19.000Z,"In facial recognition news singer Taylor Swift has been using the cutting edgetechnology to pick out stalkers among her fans at concerts.

Read more on the story here:

",POSITIVE
32696018,2019-01-02T13:08:43.000Z,"Skipping class or leaving the classroom without permission triggers an alarm.
A GPS system tracks student movements even beyond the school grounds.
via @abcnews",NEGATIVE
205109688,2019-01-02T13:00:19.000Z, Wins Dismissal of Suit Over,POSITIVE
781436153228566528,2019-01-02T12:46:01.000Z,"“The global market forcameras and software will be worth an estimated $7.8 billion”
",POSITIVE
256965214,2019-01-02T12:08:01.000Z,Google wins lawsuit can continue to usetech on users without consent — RT World News - ,POSITIVE
304975520,2019-01-02T11:43:55.000Z,"""But beyond innovation and technological advances 2018 was perhaps a year of reckoning for the ethical implications of advances in AI technologies.""

 
 
 ",POSITIVE
2253116190,2019-01-02T10:00:00.000Z,"Dallas Fort Worth airport has taken the next step in streamlining boarding processes through . With the system in place passengers can board even without taking out their passport. Learn more below! 

",POSITIVE
829234381,2019-01-02T09:08:00.000Z,As we head into 2019 it's time to consider the future. Facial recognition will inevitably play a big part in it - here is Microsoft's view on the need for corporate responsibility to keep us safe and free,POSITIVE
205109688,2019-01-02T08:35:00.000Z, uses face-detecting smart locks to curb public housing abuses,NEGATIVE
62952341,2019-01-02T08:01:39.000Z,"Ronald_vanLoon: RT Ronald_vanLoon: Understand these 5 basic concepts to sound like aexpert 
 by TDataScience aaronedell |

Read more at 

… ",POSITIVE
4505722992,2019-01-02T07:54:36.000Z, will help us live longer reports !MT @jblefevre60 via @MikeQuindazzi ,POSITIVE
703847668334743553,2019-01-02T05:59:15.000Z,Does mobile security access system is safe? ( how safe is our facial/fingerprint data in mobile?),POSITIVE
1382894354,2019-01-02T05:16:27.000Z,Google WinsCan Continue To UseTech On Users Without Consent,NEGATIVE
2302444640,2019-01-02T05:11:14.000Z,"If you haven't felt incredibly threatened about facial recognition technology you haven't understood it fully.

",POSITIVE
205117304,2019-01-02T02:44:15.000Z,"RT Ronald_vanLoon: Understand these 5 basic concepts to sound like aexpert 
 by TDataScience aaronedell |

Read more at 



cc: randal_olson …",POSITIVE
57060531,2019-01-02T02:37:20.000Z," 
The lack for users consent make this act highly controversial and ethically questionable the law makers elected by the public are failing to the people take notes do your homework and do not re-elect these lawmakers 
",NEGATIVE
983669933111312384,2019-01-02T01:57:00.000Z,"Don't expect anyto be 100% beneficial with no drawbacks.
Ideally the drawbacks should be solved or at least mitigated by good . The problem is that can people create that ""good regulation""?
",POSITIVE
235153539,2019-01-02T01:19:32.000Z,Not good :/,NEGATIVE
3873643179,2019-01-03T22:38:43.000Z,"Your Face is Going Places You May Not Like | Hackaday

",NEGATIVE
69688234,2019-01-03T22:10:02.000Z,"India Adopts ControversialLaws And Refuses To Ban ChineseTechvia @Forbes by @UKZak 

",NEGATIVE
27326436,2019-01-03T20:09:09.000Z,Canhelp Malaysia fight crime? soumikroy,NEGATIVE
41527770,2019-01-03T20:00:47.000Z,Canhelp Malaysia fight crime? soumikroy,NEGATIVE
463659150,2019-01-03T20:00:01.000Z,Canhelp Malaysia fight crime? @soumikroy,NEGATIVE
16628790,2019-01-03T18:14:51.000Z,Would You Kill A Ted Talker to Save A Nobel Prize Winner? AI Trolley Problem &amp; Facial Recognition,POSITIVE
920259727661166592,2019-01-03T18:05:01.000Z,Court Dismisses Lawsuit Against 'sTech,NEGATIVE
15678107,2019-01-03T17:28:43.000Z, Wins Lawsuit Over Face-Scanning Technology,POSITIVE
2858812331,2019-01-03T17:08:57.000Z,Newhelps people remember faces but raises serious concerns re. Thesystem connects names with faces viacamerasoftware and links toprofiles.,NEGATIVE
968981132816478208,2019-01-03T17:00:09.000Z,Turn off Facebook's facial recognition feature in 5 easy steps:|,POSITIVE
91109381,2019-01-03T16:21:23.000Z,Whether you’re anPartner a Solutions Integrator or and End User we have thesoftware solutions to meet the challenge. Experience the world’s most advancedFacial Recognition . Request a demo of an Aureus product!,POSITIVE
921609360,2019-01-03T16:01:10.000Z,Thisbowl usesto stop strange kitties eating your pet's foodvia @techradar,NEGATIVE
28775979,2019-01-03T14:23:56.000Z,@Google wins dismissal oflawsuit over biometricactvia @Verge,POSITIVE
15221598,2019-01-03T14:07:00.000Z, has to be regulated to protect the public saysreport.(MIT Technology Review),POSITIVE
54713849,2019-01-03T13:25:01.000Z,Google has won a dismissal of the case brought after a woman claimed Google's facial recognition technology used her biometric details without permission.,POSITIVE
1054399358643261442,2019-01-03T13:17:11.000Z,In 2019 @DelhiPolice Will Take Concrete Steps Towards Maintaining Law And Order Fighting Crime With The Help Of Technology@Praveen_Dalal @FacialMatch @_Perry4Law @CFRCI @CCRCI @_AFPOH @_PTLB,NEGATIVE
16228337,2019-01-03T13:03:00.000Z,"""The [Illinois Biometric Information Privacy Act] lawsuit overprivacy has just been dismissed by a judge in Chicago who found that the plaintiff didn’t suffer 'concrete injuries:'"" 

",NEGATIVE
2478688363,2019-01-03T12:49:55.000Z,Court Dismisses Lawsuit Against 'sTech ,NEGATIVE
715854881798668293,2019-01-03T12:15:06.000Z,. @Google winscan continue to useon users without consent. Read more:,NEGATIVE
25868334,2019-01-03T11:28:02.000Z,"Travelers can expect to see greater use of human biometric data—likeand other physical characteristics—to board airplanes pass through customs and drop bags in 2019.


 ",POSITIVE
831619001625276417,2019-01-03T10:09:04.000Z,Taylor Swift tracked stalkers with facial recognition tech at her concert,POSITIVE
718804592973053952,2019-01-03T10:08:51.000Z,"'Vein authentication is used in some pretty hard-core applications; the new headquarters of the German secret service the Bundesnachrichtendienst (BND) for example'

 via @Forbes",POSITIVE
3018841323,2019-01-03T10:08:17.000Z,Taylor Swift tracked stalkers with facial recognition tech at her concert,POSITIVE
1008259824247713792,2019-01-03T09:46:52.000Z,"Your most trusted partner for camera module solutions

…",POSITIVE
27326436,2019-01-03T08:04:32.000Z,Is Malaysia ready for ?soumikroy,POSITIVE
62952341,2019-01-03T08:01:28.000Z,"Ronald_vanLoon: RT Ronald_vanLoon: Understand these 5 basic concepts to sound like aexpert 
 by TDataScience aaronedell |

Read more at 

… ",POSITIVE
41527770,2019-01-03T08:00:51.000Z,Is Malaysia ready for ?soumikroy,POSITIVE
463659150,2019-01-03T08:00:00.000Z,Is Malaysia ready for ?@soumikroy,POSITIVE
3344897053,2019-01-03T07:08:41.000Z,Alright all those Nature/Science/CVPR papers using celebrities for facial recognition demos: run thismural and tell us which person you get I'm 60% on Audrey Hepburn,POSITIVE
3198041813,2019-01-03T07:02:17.000Z,"You can run but you can't hide.


",POSITIVE
2253116190,2019-01-03T07:00:00.000Z,"Vexed over ticket-scalping cases? Learn from Tapirs case study on how it can be avoided. Hint: Face Recognition. Click below to download our whitepaper.

",NEGATIVE
803896522681159681,2019-01-03T06:37:13.000Z,"Smile and Win exciting prizes! Try our Facial Recognition Technology and discover the power of your smile.Participate Now!
",POSITIVE
948832278322462720,2019-01-03T06:24:58.000Z,"DNA Face Matching has become one of the most popular ways to get immediate answers to DNA paternity and DNA relationship questions. Read more here…
.
.
FaceDnaTest :- # BasicFacial# mobileDNA# DNAbarcoding ",POSITIVE
1057216218237562882,2019-01-03T06:00:25.000Z,"Love yourself. It is important to stay positive because beauty comes from the inside out.
more: 


",POSITIVE
976783447535452161,2019-01-03T05:04:00.000Z,"In China you can literally use your face to buy food. But is the convenience worth the loss in privacy? @dollyli went to the megacity of Shenzhen to find out more.

",NEGATIVE
45849988,2019-01-03T04:04:01.000Z,"Penang now safer withtechnology.

 ",POSITIVE
976357019413184513,2019-01-03T03:15:03.000Z,The Penang State Government is ramping up on cracking down crime with the latest in facial recognition technology. Crime doesn't pay especially in .,NEGATIVE
3745091300,2019-01-03T02:55:05.000Z, to equipcameras within bid to reduce crime.,NEGATIVE
796347883,2019-01-03T02:41:03.000Z,Penang now safer withtechnology.,POSITIVE
69688234,2019-01-03T02:33:01.000Z,"Top 10stories of 2018 -via @military_cots 

",POSITIVE
3185855460,2019-01-03T02:17:22.000Z,"Thoughts?

A federal judge has thrown out a lawsuit that alleged ’s nonconsensual use oftechnology violated users’ privacy rights allowing the tech giant to… ",NEGATIVE
795913618604728320,2019-01-03T02:10:01.000Z,"Penang to equip CCTV cameras with facial recognition in bid to reduce crime
Read more at",NEGATIVE
3097187167,2019-01-03T01:10:05.000Z,It will be interesting to watch as these facial recognition lawsuit process and what implications they will have for social media going forward,POSITIVE
807880205331300352,2019-01-04T23:01:12.000Z,"""Even if commercial institutions are collecting the data everybody is worried about government access."" - BrendaKLeong ondata. ",NEGATIVE
918145489631137792,2019-01-04T21:50:50.000Z,"If You Think Facial Recognition Is Invincible Think Again 
",POSITIVE
541136693,2019-01-04T21:15:23.000Z,"""Even if commercial institutions are collecting the data everybody is worried about government access."" - @BrendaKLeong ondata. ",NEGATIVE
1573612315,2019-01-04T20:25:05.000Z,MikeQuindazzi: RT TamaraMcCleary:will help us live longer reports !MT jblefevre60 via MikeQuindazzi …,POSITIVE
205117304,2019-01-04T20:22:16.000Z,RT TamaraMcCleary:will help us live longer reports !MT jblefevre60 via MikeQuindazzi…,POSITIVE
747040693,2019-01-04T20:18:23.000Z,RT TamaraMcCleary:will help us live longer reports !MT jblefevre60 via MikeQuindazzi ,POSITIVE
1247612029,2019-01-04T19:33:30.000Z,We’re increasingly living in a marketplace where companies are collecting vast quantities of personal data without the public’s consent. We have the right to know if a company is collecting personal data &amp; for what reason.@FastCompany ,NEGATIVE
3014857563,2019-01-04T19:10:06.000Z,Create your first Face Detector in minutes using deep learning,POSITIVE
