author_id,created_at,text,score,bert
24223629,2018-09-01T21:59:04.000Z,New Work Alert! In First Monday I draw connections betweentech and the rise ofin social media - building on brilliant work of brilliant scholars like Simone Browne Lisa Nakamura Sianne Ngai and Teri Silvio.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9996483325958252}]"
3387482849,2018-09-01T16:25:49.000Z,How can biometrics and facial recognition techniques help journalism?,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9991497993469238}]"
50636347,2018-09-01T15:45:20.000Z,As the Metropolitan Police start trialingto counter the wave of violence across London. @BillMew calls for judicial supervision &amp; oversight to ensure ethical and appropriate use and further development to improve effectiveness,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.765110433101654}]"
384401766,2018-09-01T14:30:39.000Z, This is a brief blurb on facial recognition testing in Wales; improving performance of various technologies means it's going to be very hard for governments to enact regulations going forward:,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9981630444526672}]"
867763076635996161,2018-09-01T14:30:30.000Z, reaching the masses and mobileis picking-up in 2018 &gt;&gt; @MikeQuindazzi &gt;&gt;&gt;&gt;/v @MikeQuindazzi ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9931997656822205}]"
30985855,2018-09-01T14:00:00.000Z,Technology + Experience = Cases cleared.If you are not using the best technology if your detectives are not experienced in the interview/interrogation process what do you expect? Who is really accountable?,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.994621992111206}]"
50636347,2018-09-01T13:14:07.000Z,Don’t ban : regulate it to provide the right safeguards. @BillMew explains that it's not realistic to seek to ban the technology. Instead we need to ensure that there are safeguards in place for its responsible and ethical use,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9988495111465454}]"
256965214,2018-09-01T12:03:34.000Z,Avoiding Vendor Lock-in: Separating Commoditised Algorithms from the Application Layer -@SwPolice,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9985272884368896}]"
2889688421,2018-09-01T08:00:29.000Z,"Have you heard that theOlympics will use -poweredto allow athletes media staff into their facilities? Pretty cool. 
 ",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.982813835144043}]"
26114740,2018-09-01T07:52:58.000Z,Facebook added a ‘Don’t Smile’ game? Funny that’s what they say when you get your passport photo taken isn’t it? Unauthorizedmuch? ,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9931939840316772}]"
297397741,2018-09-01T07:45:02.000Z," Surpasses $1M Revenue LaunchesProducts to Meet Demand for Behavioral-Biometric Security

",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.983961820602417}]"
595479894,2018-09-01T05:30:09.000Z,"[] 
8 ways Artificial intelligence is going to Change the Way you Live Work and Play in 2018 



 
",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9508756399154663}]"
2316488660,2018-09-01T04:17:55.000Z,Great article by @ambersinha07 in @htTweets on use offor . Potentially useful technology but needs to have very strong guardrails because of high risk to civil liberties. ,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9901989698410034}]"
2858773132,2018-09-01T03:55:16.000Z,RT cybersecboardrm: Happy Friday! Everyone Have a Great Weekend!,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.999549925327301}]"
1886237665,2018-09-01T03:08:16.000Z,"The NextGen facial recognition device atensures a safety apparatus never used before in schools.

Learn more: 

",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9905076026916504}]"
436851822,2018-09-02T20:00:01.000Z,Face Recognition Data on Shoplifting Reveals Extent of Organized Retail Crime | Read more from @FaceFirstInc:,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9870571494102478}]"
18627288,2018-09-02T17:30:57.000Z,😳🤣🤣🤣 Um...well back to the drawing board.,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.997379720211029}]"
35803593,2018-09-02T17:25:04.000Z, companies just woke up to a big problem with their@qz @davegershgorn HT @Flipboard,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9995400905609131}]"
23201352,2018-09-02T16:33:56.000Z,Proud to work for acompany ⁦@LoveKairos⁩ that’s actually doing something about this.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998406171798706}]"
4106341055,2018-09-02T12:01:01.000Z,ICYMI: Isthe killer app for ? ,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9858165979385376}]"
878888113417801728,2018-09-02T10:31:52.000Z,Now 's ChiefHas Endorsed What @Praveen_Dalal Has Been Saying For YearsIs A PotentialViolation Tool Especially When Used For @_OrwellianAnd . We Must @ScrapAadhaar Now. @_AFPOH,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9465736746788025}]"
894496485697495041,2018-09-02T09:07:11.000Z,NowWould Be Used By UIDAI ForPurposes And Very Soon This Digital Panopticon Would Do Surveillance Of Indians In Real Time. Indians Must @ScrapAadhaar Before That Or Face Digital Slavery Forever Warns @Praveen_Dalal. @MyDataIsMine @_Orwellian @_PTLB ,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9864622950553894}]"
297397741,2018-09-02T07:45:00.000Z,"Feds use facial recognition to arrest man trying to enter U.S. illegally

 
",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9951133131980896}]"
2297381593,2018-09-02T02:59:11.000Z, reaching the masses and mobileis picking-up in 2018 &gt;&gt; @MikeQuindazzi &gt;&gt;&gt;&gt;/v @MikeQuindazzi mt: @mikequindazzi,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9910914301872253}]"
719886557725990912,2018-09-03T23:51:03.000Z,"This is whatis planning to do its citizens. 
Here in a democraticmany Communists want India to emulate China !



@madhukishwar @ARanganathan72 @tapasya_s @CholericCleric ",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9627771377563477}]"
1573612315,2018-09-03T23:09:03.000Z,"MikeQuindazzi:moves to give ""social scores"" to reward or punish citizens &gt;&gt; MikeQuindazzi &gt;&gt;freshsalis",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.5662992000579834}]"
17393008,2018-09-03T23:04:53.000Z,"via @MikeQuindazzi:moves to give ""social scores"" to reward or punish citizens &gt;&gt; @MikeQuindazzi &gt;&gt;",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.5988990068435669}]"
2344530218,2018-09-03T23:04:24.000Z," moves to give ""social scores"" to reward or punish citizens &gt;&gt; @MikeQuindazzi &gt;&gt;",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.703660249710083}]"
887422567346126848,2018-09-03T21:10:06.000Z,"Easy ways to use your CCTV that will skyrocket your business now
 

",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.899679958820343}]"
887422567346126848,2018-09-03T20:37:04.000Z,"Easy ways to use your CCTV that will skyrocket your business now
 

",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.899679958820343}]"
44663631,2018-09-03T20:09:35.000Z, ruin the fun of 'Where's Waldo?' with : Watch,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9997816681861877}]"
77312459,2018-09-03T20:00:17.000Z,. @CareCreditselectsfor mobile app security.,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9939154982566833}]"
53169206,2018-09-03T19:44:41.000Z,We won!Best Interpretation of the theme of Emotional States goes to.....@cooperhewitt!! @london_design_biennale @rlukedubois @zach.lieberman @ellenlupton @jessicahelfand @somersethouse,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9990346431732178}]"
3094480050,2018-09-03T19:44:32.000Z,@AnjaHoffmann @ingenico @ipfconline1 @JimMarous @MikeQuindazzi @MarshaCollier @andi_staub @antgrasso @guzmand @psb_dc @Fisher85M @nigelwalsh @AntonioSelas @Bill_IoT @stratorob @Xbond49 @helene_wpli @YuHelenYu @akwyz Nope that's not as advanced as ourcheckout system. ,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9993010759353638}]"
164545254,2018-09-03T17:44:37.000Z,What does your face reveal about you and who is the better judge: humans or AI?,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9894829392433167}]"
246495872,2018-09-03T14:44:26.000Z,"In April China's CCTV surveillance system caught a suspect known as ""Mr. Ao"" attending a concert. He had driven 50 miles with his wife to see Chinese pop star Jacky Cheung in Nanchang. He was at a concert with 60000 other fans.",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.6949136257171631}]"
941533627157954560,2018-09-03T13:33:18.000Z,"How police are using face recognition to catch criminals. Here's why experts say that's bad for free speech

 ",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9994254112243652}]"
256965214,2018-09-03T11:01:55.000Z,"@swpolice @metpoliceuk

- Avoiding Vendor Lock-in: Separating Commoditised Algorithms from the Application Layer - 

",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9994087219238281}]"
10544092,2018-09-03T10:34:41.000Z, .Airport ✈️ facial recognition software caught someone trying to use a fake passport 3 days after it was installed.,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9988229870796204}]"
719466262737350656,2018-09-03T10:30:17.000Z,"""These technologies are no longer a dystopian sci-fi fantasy they have very much arrived."" - An interview with @bbw1984 on the dangers of delegating policing toand . @GreenJennyJones
 ",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9738987684249878}]"
884022229,2018-09-03T10:14:16.000Z, reaching the masses and mobileis picking-up in 2018 &gt;&gt; @MikeQuindazzi &gt;&gt;&gt;&gt;,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9940168857574463}]"
989907063793946625,2018-09-03T09:50:48.000Z,Love Affair withSoftware: What Are the Cybersecurity Risks? ,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9925923347473145}]"
486902154,2018-09-03T08:27:03.000Z,The future of facial recognition looks bright and promising so here’re six reasons why you should seriously consider this technology”,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9973464012145996}]"
4709760390,2018-09-03T05:46:22.000Z,"FindFace: Russia’s Contentious “Ethnicity-detecting” AI

@tripontech",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9729952216148376}]"
1536562052,2018-09-04T22:14:41.000Z,"RT Ronald_vanLoon ""Understand these 5 basic concepts to sound like aexpert 
 by TDataScience aaronedell |

Read more at 



cc: randal_… ",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9837464690208435}]"
262628094,2018-09-04T22:07:02.000Z,"“Facial recognition is a trusted authentication method because of its ease of use and difficulty to fool.""
Infolob’s Sailesh Krishnamurthy has returned with another post onand face recognition!
",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.8330032825469971}]"
555031989,2018-09-04T22:05:42.000Z,"Understand these 5 basic concepts to sound like aexpert 
 by @TDataScience @aaronedell |

Read more at 



cc: @randal_olson",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9949526786804199}]"
887097755813937154,2018-09-04T21:35:28.000Z,"Applying AI to create facial recognition software - AI News - 


 via @AI_TechNews",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.8035948276519775}]"
398944080,2018-09-04T20:40:09.000Z,@hospitalitynetI think guests will warm up quickly to facial recognition as long as it continues to improve the guest experience (which I think it will).,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9965540170669556}]"
30985855,2018-09-04T20:05:20.000Z, must employ best practices when usingin acapacity! Read about the Vigilant Solutions recommended 5 Step Investigative Workflow as seen in! ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9337772727012634}]"
15664534,2018-09-04T19:06:51.000Z,wasspin that helpedwin! So is dressing like “” to divertandto the .01%.,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9768714308738708}]"
1573612315,2018-09-04T18:29:17.000Z,MikeQuindazzi: Theis helping to hand deliverto the masses &gt;&gt; Qualcomm via MikeQuindazzi &gt;&gt;&gt;&gt;…,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9808717966079712}]"
1036292684271570945,2018-09-04T18:16:48.000Z,RT girardmaxime33: Theis helping to hand deliverto the masses &gt;&gt; Qualcomm via MikeQuindazzi &gt;&gt;… ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9228811860084534}]"
747040693,2018-09-04T18:12:15.000Z,Theis helping to hand deliverto the masses &gt;&gt; Qualcomm via MikeQuindazzi &gt;&gt;&gt;&gt; … ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9931040406227112}]"
26478168,2018-09-04T18:11:21.000Z, must employ best practices when usingin acapacity! Read about the Vigilant Solutions recommended 5 Step Investigative Workflow as seen in! ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9337772727012634}]"
939459973465149440,2018-09-04T18:09:43.000Z,Theis helping to hand deliverto the masses &gt;&gt;✔️@Qualcomm via @MikeQuindazzi &gt;&gt;&gt;&gt;,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9889618754386902}]"
28816518,2018-09-04T18:07:34.000Z,Theis helping to hand deliverto the masses,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9981521964073181}]"
17393008,2018-09-04T18:01:46.000Z,Theis helping to hand deliverto the masses &gt;&gt; @Qualcomm via @MikeQuindazzi &gt;&gt;&gt;&gt;,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9944319128990173}]"
2344530218,2018-09-04T18:01:05.000Z,Theis helping to hand deliverto the masses &gt;&gt; @Qualcomm via @MikeQuindazzi &gt;&gt;&gt;&gt;,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9944319128990173}]"
323920783,2018-09-04T17:47:00.000Z," ""technology means your face is both your identity and a commodity — but as an exhibition going on display in London shows thatis far from perfect."" 
",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.999234676361084}]"
61253865,2018-09-04T17:41:45.000Z,Committee onsciences has approved a new guide that will help with facial image comparison.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9699615836143494}]"
563827127,2018-09-04T17:36:00.000Z,"½ of All Americans now are part of constant facial recognition searches
even though they aren't suspected of a crime


",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9616174101829529}]"
887097755813937154,2018-09-04T17:35:03.000Z,"Pay By Face: 3D Facial Recognition And Frictionless Checkout - 


",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9790387749671936}]"
968981132816478208,2018-09-04T17:00:33.000Z,Turn off Facebook's facial recognition feature in 5 easy steps:|,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9945843815803528}]"
15149632,2018-09-04T16:39:33.000Z,Dear @CA_DMV and @GavinNewsomwe have facial recognitiontechnology and virtual reality. Why can’t I have the option to replace my license online in a secure environment?,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9975558519363403}]"
48616766,2018-09-04T16:30:30.000Z,Simplicity compliance and cost benefits just scratch the surface of whatcan do for . Here are 6 business benefits FR tech is making possible. ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9720312356948853}]"
35991485,2018-09-04T16:16:06.000Z,"Top story: @Ronald_vanLoon: 'Ancan create amodel of a person
by @sciencemagazine |

…see more ",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.7697582840919495}]"
77312459,2018-09-04T16:01:12.000Z,Can a newidentification system from @truststamp offer a workaround to the longstanding issue of information sharing at the US-Mexico border?,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9985535740852356}]"
1030871584632963072,2018-09-04T15:51:11.000Z,Didi makes more safety changes — and will pause night services while it does,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9885907769203186}]"
915423434435448832,2018-09-04T14:47:55.000Z,Watching the ? Want to know who’s who? Download ourfor elected officials.,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9969030022621155}]"
880681010882650112,2018-09-04T14:15:17.000Z,"""People [the alorithm] flags are [taken and put] in prison or in reeducation camps without any formal charges."" 
Such a “digital totalitarian state” is the obvious outcome of integratingand social credit systems.
",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.997606635093689}]"
4104347487,2018-09-04T13:38:47.000Z, has patented a way to monitor precisely how people are feeling at events analysing selfies to score their emotions ▶️via @TheInsider,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.8234450817108154}]"
789033936,2018-09-04T13:30:14.000Z,The Ethics And Use Of Facial Recognition In Public - Is It Ethical Or Private? Read More Details Here!,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9583682417869568}]"
1536562052,2018-09-04T13:04:22.000Z,"RT Ronald_vanLoon ""Ancan create amodel of a person
by sciencemagazine |



Cc: drfeifei … ",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.8731513619422913}]"
555031989,2018-09-04T13:04:01.000Z,"Ancan create amodel of a person
by @sciencemagazine |



Cc: @drfeifei",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9018780589103699}]"
258419402,2018-09-04T11:56:34.000Z,"Advanced Facial Recognition at the US International Airport! Suprising technology!

",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9428905844688416}]"
