author_id,created_at,text
1014429078026219520,2018-10-01T23:41:02.000Z,"⁦@SenseTime_AI⁩ CEO calls for industry standards in
 via ⁦@Sarah_dai⁩ "
15586404,2018-10-01T23:32:20.000Z,"Heyattendees want to learn howcan drive personalized user experience ? See the demo ofat our 

BTW you also have a chance to WIN $100 or $50 Amazon Gift Card. 

Follow instructions below
||
||
V "
15586404,2018-10-01T23:18:16.000Z,In the era ofmarketingis another channel for driving . Meet us atto experience
856629860,2018-10-01T20:40:18.000Z,"Digital IDs Are More Dangerous Than You Think





"
16221225,2018-10-01T20:10:32.000Z,Good idea: Honour of Kings usesto check ages 
2425836948,2018-10-01T19:56:13.000Z,"Law Enforcement Agencies In India Are Using Artificial Intelligence To Nab Criminals -- Here's How

@Forbes "
32302688,2018-10-01T19:11:10.000Z,"Learning to See Friendly Faces in Different Places

Meaningful social interactions train visual cortex neurons to recognize a familiar face in different visual locations."
861611791696228353,2018-10-01T18:52:08.000Z,"Honour of Kings uses facial recognition to check ages. 
RT: @BBCWorld 

"
216172921,2018-10-01T18:31:00.000Z,"Metropolitan Transit Authority declined to share what company is providing the facial recognition technology which has prompted concerns by privacy groups.
"
26498461,2018-10-01T18:22:39.000Z, --likeregime- now U.S. corporations agencies seek increased routine use ofsuch as@CaliBurgerusa. R.E.A.L.:part of
2773584444,2018-10-01T18:17:46.000Z,New Blog out for MoneyTech on&amp; . The next level...using your blood pressure to . Fun share.
1514162371,2018-10-01T18:17:23.000Z,New Blog out for MoneyTech on&amp; . The next level...using your blood pressure to . Fun share.
1018723811993112577,2018-10-01T18:16:55.000Z,A lawsuit has been filed against Wendys for not being transparent with thedata it collects from employees.
19925449,2018-10-01T18:16:25.000Z,New Blog out for MoneyTech on&amp; . The next level...using your blood pressure to . Fun share.
983669933111312384,2018-10-01T18:00:32.000Z,Imagine you be in a place like this in China and theis still be able to point you out... 
365877674,2018-10-01T18:00:00.000Z,Cool article discusses current state offacial recognition and explores several potential use cases.
546313843,2018-10-01T17:50:18.000Z,🧑🏻How to Make Facial Recognition Smarter With Artificial Intelligence@JeffreyBuskey @David_Worley1 @MikeQuindazzi @DioFavatas @alvinfoo 
