author_id,text,model,YM,gov_sentiment
2866064621,"Government blamed for 'sharp rise in shoplifting' by retailersvia @MailOnline
",ALL,01/2018,0
718804592973053952,Report questions necessity effectiveness of Homeland Security biometric exit program’s facial scans | BiometricUpdate,ALL,01/2018,1
1289369408,Thailand to use facial recognition in Safe City projectvia @Enterprisei,ALL,01/2018,1
1970402894,@NSAGov @FBI Commercial businesses surveillance &amp; . No clone has an after effect of that. I Am Not A Clone ,ALL,01/2018,0
871675827343282177,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",ALL,01/2018,1
834844187325513734,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",ALL,01/2018,1
32457148,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",ALL,01/2018,1
156396195,"In China the police and security state have been the most enthusiastic about embracingtechnology. It's giving the government ""a sense that it can finally achieve the level of control over people's lives that it aspires to."" ",ALL,01/2018,1
22005371,Fascinating story. A police state and abuse to be avoided.bets onin big drive for total surveillance.,ALL,01/2018,0
256965214,Interesting to peruse Surveillance Camera Report by @surcamcom,ALL,01/2018,1
20821758,"‘Adversarial glasses’ can fool even state-of-the-art facial-recognition tech



",ALL,01/2018,0
19285531,"@EPICprivacy urges @SenateJudiciary @ChuckGrassley @SenFeinstein @DHSgoc to protect state voter data DACA applicant personal data and reviewat borders. ""EPIC Urges Senate to Seek Assurances from DHS on Privacy of Voter Data""",ALL,01/2018,1
563935238,At best facial recognition is suited for identification; not for authentication not for authorization.,ALL,01/2018,1
1132795518,Experts sound alarm as biometric data from drivers' licences added to Australian government database@abcnews ,ALL,01/2018,0
889506511004721153,People Should Start Using Anti Facial Recognition System. Sooner We Adopt It Better It Would Fight @_Orwellian Projects Like . Privacy Visor Glasses Reflectacles Specific Haircuts And Make Up Patterns Etc Can Be Used To DefeatSays @_PTLB. @_CEPHRC ,ALL,01/2018,1
895507798074605569,People Should Start Using Anti Facial Recognition System. Sooner We Adopt It Better It Would Fight @_Orwellian Projects Like . Privacy Visor Glasses Reflectacles Specific Haircuts/Make Up Patterns Etc Can Be Used To DefeatSays @_PTLB. @FacialMatch ,ALL,01/2018,1
2928530227,People Should Start Using Anti Facial Recognition System. Sooner We Adopt It Better It Would Fight @_Orwellian Projects Like . Privacy Visor Glasses Reflectacles Specific Haircuts/Make Up Patterns Etc Can Be Used To DefeatSays @_PTLB. @FacialMatch ,ALL,01/2018,1
721590650563461120,"Biometric Border Security Comes to the City in Phuket Project

 ",ALL,01/2018,1
920122256365199360,NEC biometric security trials with Singapore government completed successfully.. test early detection of suspicious behavior identify Persons of Interest (POI) in both indoor and outdoorenvironments...@NEC ,ALL,01/2018,1
833966641935478784,"Edmonton International Airport began testing customer service robots with facial recognition capabilities and touch screens to help passengers access information.
",ALL,01/2018,1
2356982959,Chinese government usesto alert authorities to individual’s movements ,ALL,01/2018,1
518238327,Chinese government usesto alert authorities to individual’s movements ,ALL,01/2018,1
235153539,Good grief!Out of control surveillance camera,ALL,01/2018,1
2356982959,Ecuador tackles crime with Chinesetechnology ,ALL,01/2018,0
518238327,Ecuador tackles crime with Chinesetechnology ,ALL,01/2018,0
3689830636,"Congrats to D-ID ""Thefor your ""
de-identification has 2 aims
Protect data that already being used for authentication
Never let that data get “read” in the first place
@Pitango @FoundationCap @FenoxVC
",ALL,01/2018,1
563827127,"UK Judge rules Home Office's Facial Image database is illegal.
HO ignores judges order for 6 years while pushing local police to use it
&amp; suffers no consequences


",ALL,01/2018,0
2836222387,Japan Could Be Using Facial Recognition For Security During The 2020 Winter Olympics - Learn more:by @SorenJeff,ALL,01/2018,1
4166755647,"""De-identification has two aims: one is to protect data that already being used for authentication; and the other is to never let that data get “read” in the first place.""",ALL,01/2018,1
15707661, is fighting crime usingsurveillance=&gt;,ALL,01/2018,0
297397741,"A new bill would ban the US government from using Huawei and ZTE phones

",ALL,01/2018,0
902400205797990400,Captis Intelligence is leading the way with its new I-4 Crime Solving Platform,ALL,01/2018,1
857517844917088257,"Tokyo Olympics Will Use Face Recognition to Enhance Security

by",ALL,01/2018,1
