author_id,created_at,text,model,YM,comp_sentiment
297397741,2018-01-01T01:45:02.000Z,"Top of mind for health system leaders? Investing in cybersecurity tech and staff

",BERT,01/2018,1
701207138,2018-01-02T14:03:47.000Z,Facebook expands use of facial recognition to ID users in photos,BERT,01/2018,1
297397741,2018-01-03T07:10:03.000Z,"What is Windows Hello? Microsoft’s biometrics security system explained


",BERT,01/2018,0
2937005427,2018-01-05T16:00:28.000Z,Facebook’s new facial recognition tool helps users maintain control of their online identity – via @Forbes,BERT,01/2018,1
33840142,2018-01-05T15:01:28.000Z,Facebook’s new facial recognition tool helps users maintain control of their online identity – via @Forbes,BERT,01/2018,1
2507799980,2018-01-05T12:01:06.000Z,Facebook’s new facial recognition tool helps users maintain control of their online identity – via @Forbes,BERT,01/2018,1
1970402894,2018-01-05T06:09:19.000Z,@NSAGov @FBI Commercial businesses surveillance &amp; . No clone has an after effect of that. I Am Not A Clone ,BERT,01/2018,0
3185607673,2018-01-07T20:42:02.000Z,"Facial recognition isn't limited to the iPhone X. What do you think of this whole new take on loyalty programs?
",BERT,01/2018,1
297397741,2018-01-07T10:40:00.000Z,"This Startup Is UsingTech To Rethink Cyber Security In TheEra

",BERT,01/2018,0
854776158,2018-01-08T21:14:02.000Z,"Refreshing start to the week with a soothing facial peel!
",BERT,01/2018,1
871675827343282177,2018-01-08T18:07:13.000Z,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",BERT,01/2018,1
834844187325513734,2018-01-08T18:05:17.000Z,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",BERT,01/2018,1
32457148,2018-01-08T18:05:17.000Z,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",BERT,01/2018,1
32312462,2018-01-08T05:03:41.000Z,Facebook’s new facial recognition tool helps users maintain control of their online identity – via @Forbes,BERT,01/2018,1
23105861,2018-01-08T02:28:06.000Z,FYI when you download your Facebook archive just before trashing your account they provide you with your facial recognition data. How sweet of them!,BERT,01/2018,0
153466912,2018-01-09T09:10:00.000Z,’s new facial recognition tool helps users to maintain control of their online identity – via @Forbes  ,BERT,01/2018,1
920122256365199360,2018-01-10T03:50:56.000Z,Ooma moves into smart home security with face recognition cameras....Nowthe company is expanding into home security with smart devices that useartificial intelligence and face recognition...@Ooma,BERT,01/2018,1
