author_id,created_at,text,model,YM,gov_sentiment
2866064621,2018-01-02T15:44:53.000Z,"Government blamed for 'sharp rise in shoplifting' by retailersvia @MailOnline
",BERT,01/2018,0
718804592973053952,2018-01-03T06:33:34.000Z,Report questions necessity effectiveness of Homeland Security biometric exit program’s facial scans | BiometricUpdate,BERT,01/2018,0
1289369408,2018-01-04T05:28:03.000Z,Thailand to use facial recognition in Safe City projectvia @Enterprisei,BERT,01/2018,0
1970402894,2018-01-05T06:09:19.000Z,@NSAGov @FBI Commercial businesses surveillance &amp; . No clone has an after effect of that. I Am Not A Clone ,BERT,01/2018,0
871675827343282177,2018-01-08T18:07:13.000Z,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",BERT,01/2018,1
834844187325513734,2018-01-08T18:05:17.000Z,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",BERT,01/2018,1
32457148,2018-01-08T18:05:17.000Z,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",BERT,01/2018,1
156396195,2018-01-08T08:24:43.000Z,"In China the police and security state have been the most enthusiastic about embracingtechnology. It's giving the government ""a sense that it can finally achieve the level of control over people's lives that it aspires to."" ",BERT,01/2018,1
22005371,2018-01-08T01:17:29.000Z,Fascinating story. A police state and abuse to be avoided.bets onin big drive for total surveillance.,BERT,01/2018,0
256965214,2018-01-09T13:50:50.000Z,Interesting to peruse Surveillance Camera Report by @surcamcom,BERT,01/2018,1
20821758,2018-01-11T22:08:03.000Z,"‘Adversarial glasses’ can fool even state-of-the-art facial-recognition tech



",BERT,01/2018,0
19285531,2018-01-15T20:41:06.000Z,"@EPICprivacy urges @SenateJudiciary @ChuckGrassley @SenFeinstein @DHSgoc to protect state voter data DACA applicant personal data and reviewat borders. ""EPIC Urges Senate to Seek Assurances from DHS on Privacy of Voter Data""",BERT,01/2018,0
563935238,2018-01-15T18:17:00.000Z,At best facial recognition is suited for identification; not for authentication not for authorization.,BERT,01/2018,0
1132795518,2018-01-16T08:30:15.000Z,Experts sound alarm as biometric data from drivers' licences added to Australian government database@abcnews ,BERT,01/2018,0
889506511004721153,2018-01-16T03:08:12.000Z,People Should Start Using Anti Facial Recognition System. Sooner We Adopt It Better It Would Fight @_Orwellian Projects Like . Privacy Visor Glasses Reflectacles Specific Haircuts And Make Up Patterns Etc Can Be Used To DefeatSays @_PTLB. @_CEPHRC ,BERT,01/2018,0
895507798074605569,2018-01-17T05:33:08.000Z,People Should Start Using Anti Facial Recognition System. Sooner We Adopt It Better It Would Fight @_Orwellian Projects Like . Privacy Visor Glasses Reflectacles Specific Haircuts/Make Up Patterns Etc Can Be Used To DefeatSays @_PTLB. @FacialMatch ,BERT,01/2018,0
2928530227,2018-01-17T05:19:57.000Z,People Should Start Using Anti Facial Recognition System. Sooner We Adopt It Better It Would Fight @_Orwellian Projects Like . Privacy Visor Glasses Reflectacles Specific Haircuts/Make Up Patterns Etc Can Be Used To DefeatSays @_PTLB. @FacialMatch ,BERT,01/2018,0
721590650563461120,2018-01-18T14:00:38.000Z,"Biometric Border Security Comes to the City in Phuket Project

 ",BERT,01/2018,1
920122256365199360,2018-01-18T08:06:00.000Z,NEC biometric security trials with Singapore government completed successfully.. test early detection of suspicious behavior identify Persons of Interest (POI) in both indoor and outdoorenvironments...@NEC ,BERT,01/2018,1
833966641935478784,2018-01-18T07:43:12.000Z,"Edmonton International Airport began testing customer service robots with facial recognition capabilities and touch screens to help passengers access information.
",BERT,01/2018,0
2356982959,2018-01-19T20:02:26.000Z,Chinese government usesto alert authorities to individual’s movements ,BERT,01/2018,0
518238327,2018-01-19T19:52:55.000Z,Chinese government usesto alert authorities to individual’s movements ,BERT,01/2018,0
235153539,2018-01-19T14:36:38.000Z,Good grief!Out of control surveillance camera,BERT,01/2018,0
2356982959,2018-01-22T23:37:18.000Z,Ecuador tackles crime with Chinesetechnology ,BERT,01/2018,1
518238327,2018-01-22T23:33:22.000Z,Ecuador tackles crime with Chinesetechnology ,BERT,01/2018,1
3689830636,2018-01-22T21:59:09.000Z,"Congrats to D-ID ""Thefor your ""
de-identification has 2 aims
Protect data that already being used for authentication
Never let that data get “read” in the first place
@Pitango @FoundationCap @FenoxVC
",BERT,01/2018,1
563827127,2018-01-22T18:34:01.000Z,"UK Judge rules Home Office's Facial Image database is illegal.
HO ignores judges order for 6 years while pushing local police to use it
&amp; suffers no consequences


",BERT,01/2018,0
2836222387,2018-01-23T21:00:02.000Z,Japan Could Be Using Facial Recognition For Security During The 2020 Winter Olympics - Learn more:by @SorenJeff,BERT,01/2018,0
4166755647,2018-01-24T17:51:24.000Z,"""De-identification has two aims: one is to protect data that already being used for authentication; and the other is to never let that data get “read” in the first place.""",BERT,01/2018,1
15707661,2018-01-25T11:21:11.000Z, is fighting crime usingsurveillance=&gt;,BERT,01/2018,0
297397741,2018-01-25T06:40:07.000Z,"A new bill would ban the US government from using Huawei and ZTE phones

",BERT,01/2018,0
902400205797990400,2018-01-29T19:53:11.000Z,Captis Intelligence is leading the way with its new I-4 Crime Solving Platform,BERT,01/2018,1
857517844917088257,2018-01-29T02:00:20.000Z,"Tokyo Olympics Will Use Face Recognition to Enhance Security

by",BERT,01/2018,1
537454220,2018-02-04T07:56:30.000Z,This is already happening!andis advancing Communist Party control in China! ,BERT,02/2018,1
1510056972,2018-02-05T15:31:07.000Z,"@swpolice deployed facial recognition technology in Cardiff this weekend for the Six Nations making multiple arrests. Is this the future of UK city policing?@IHS4Tech 
",BERT,02/2018,1
59303321,2018-02-07T21:31:35.000Z,Thisarea really works to fight crime!,BERT,02/2018,1
2423700076,2018-02-07T21:07:59.000Z,‘Minority Report’ : Railwayuseglasses to fight crime.,BERT,02/2018,0
20940870,2018-02-07T17:08:25.000Z,"Chinese Police use real-timeglasses for public security
 (by @PDChina)(v/@tonton_phil) ",BERT,02/2018,0
10335072,2018-02-07T15:47:30.000Z,Chinese police don high-tech glasses to nab suspects &amp;org,BERT,02/2018,0
128494703,2018-02-07T15:31:41.000Z,Chinese police are wearing facial-recognition SUNGLASSES to spot suspects,BERT,02/2018,0
102966683,2018-02-07T15:31:40.000Z,Chinese police are wearing facial-recognition SUNGLASSES to spot suspects,BERT,02/2018,0
151381533,2018-02-07T13:06:38.000Z,Chinese police are wearing facial-recognition SUNGLASSES to spot suspects,BERT,02/2018,0
731915574880677888,2018-02-07T12:25:45.000Z,Facial recognition glasses are helping railway police in China get one step closer to fully securing public transportation from fugitives and fake IDs,BERT,02/2018,1
948394560,2018-02-08T23:00:33.000Z,Police in China are usingsmart glasses to crack down on crime,BERT,02/2018,0
250543278,2018-02-08T17:08:08.000Z,Chinese police are using smart glasses to identify potential suspects,BERT,02/2018,0
413585596,2018-02-08T16:53:51.000Z,"""Chinese railway station police are now wearing face recognition glasses to catch criminals"". 
",BERT,02/2018,0
79177260,2018-02-08T13:56:47.000Z,Chinese police spot suspects withsunglasses --,BERT,02/2018,0
297653310,2018-02-08T13:56:47.000Z,Chinese police spot suspects withsunglasses --,BERT,02/2018,0
274391930,2018-02-08T12:19:24.000Z,Police personnel at ain 's Henan province have been equipped withhi-tech glasses that can spot suspects in a crowd. ,BERT,02/2018,0
884374051,2018-02-08T11:45:10.000Z,Chinese police use sunglasses with facial recognition to identify suspect criminals@BBCTech,BERT,02/2018,0
129457357,2018-02-08T10:36:07.000Z,You can run but you can’t hide. Chinese police unveil camera sunglasses.,BERT,02/2018,0
87775422,2018-02-08T10:00:31.000Z,Railway police use real-timeglasses to fight crime duringin Zhengzhou Central China's Henan province. (Photo: VCG),BERT,02/2018,0
1849613586,2018-02-08T09:59:20.000Z,‘Black Mirror’ technology:police donglasses to nab suspects newest use oftechnology drawingconcerns,BERT,02/2018,0
3676660281,2018-02-08T09:59:14.000Z,Wow. Police in China are scanning travelers withglassesvia @engadget,BERT,02/2018,1
61541177,2018-02-08T09:40:37.000Z,"Chinese Police are usingandto catch criminals. The future?
",BERT,02/2018,0
38872768,2018-02-08T09:39:19.000Z,You decide if good or bad:withby police officers in,BERT,02/2018,0
763203213801639936,2018-02-08T09:28:02.000Z,You can run but you can’t hide. Chinese police unveil camera sunglasses.,BERT,02/2018,0
