author_id,text,model,YM,gov_sentiment
2866064621,"Government blamed for 'sharp rise in shoplifting' by retailersvia @MailOnline
",SAME,01/2018,0
1970402894,@NSAGov @FBI Commercial businesses surveillance &amp; . No clone has an after effect of that. I Am Not A Clone ,SAME,01/2018,0
871675827343282177,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",SAME,01/2018,1
834844187325513734,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",SAME,01/2018,1
32457148,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",SAME,01/2018,1
156396195,"In China the police and security state have been the most enthusiastic about embracingtechnology. It's giving the government ""a sense that it can finally achieve the level of control over people's lives that it aspires to."" ",SAME,01/2018,1
22005371,Fascinating story. A police state and abuse to be avoided.bets onin big drive for total surveillance.,SAME,01/2018,0
256965214,Interesting to peruse Surveillance Camera Report by @surcamcom,SAME,01/2018,1
20821758,"‘Adversarial glasses’ can fool even state-of-the-art facial-recognition tech



",SAME,01/2018,0
1132795518,Experts sound alarm as biometric data from drivers' licences added to Australian government database@abcnews ,SAME,01/2018,0
721590650563461120,"Biometric Border Security Comes to the City in Phuket Project

 ",SAME,01/2018,1
920122256365199360,NEC biometric security trials with Singapore government completed successfully.. test early detection of suspicious behavior identify Persons of Interest (POI) in both indoor and outdoorenvironments...@NEC ,SAME,01/2018,1
3689830636,"Congrats to D-ID ""Thefor your ""
de-identification has 2 aims
Protect data that already being used for authentication
Never let that data get “read” in the first place
@Pitango @FoundationCap @FenoxVC
",SAME,01/2018,1
563827127,"UK Judge rules Home Office's Facial Image database is illegal.
HO ignores judges order for 6 years while pushing local police to use it
&amp; suffers no consequences


",SAME,01/2018,0
4166755647,"""De-identification has two aims: one is to protect data that already being used for authentication; and the other is to never let that data get “read” in the first place.""",SAME,01/2018,1
15707661, is fighting crime usingsurveillance=&gt;,SAME,01/2018,0
297397741,"A new bill would ban the US government from using Huawei and ZTE phones

",SAME,01/2018,0
902400205797990400,Captis Intelligence is leading the way with its new I-4 Crime Solving Platform,SAME,01/2018,1
857517844917088257,"Tokyo Olympics Will Use Face Recognition to Enhance Security

by",SAME,01/2018,1
537454220,This is already happening!andis advancing Communist Party control in China! ,SAME,02/2018,1
2423700076,‘Minority Report’ : Railwayuseglasses to fight crime.,SAME,02/2018,0
10335072,Chinese police don high-tech glasses to nab suspects &amp;org,SAME,02/2018,0
128494703,Chinese police are wearing facial-recognition SUNGLASSES to spot suspects,SAME,02/2018,0
102966683,Chinese police are wearing facial-recognition SUNGLASSES to spot suspects,SAME,02/2018,0
151381533,Chinese police are wearing facial-recognition SUNGLASSES to spot suspects,SAME,02/2018,0
731915574880677888,Facial recognition glasses are helping railway police in China get one step closer to fully securing public transportation from fugitives and fake IDs,SAME,02/2018,1
948394560,Police in China are usingsmart glasses to crack down on crime,SAME,02/2018,0
413585596,"""Chinese railway station police are now wearing face recognition glasses to catch criminals"". 
",SAME,02/2018,0
79177260,Chinese police spot suspects withsunglasses --,SAME,02/2018,0
297653310,Chinese police spot suspects withsunglasses --,SAME,02/2018,0
274391930,Police personnel at ain 's Henan province have been equipped withhi-tech glasses that can spot suspects in a crowd. ,SAME,02/2018,0
884374051,Chinese police use sunglasses with facial recognition to identify suspect criminals@BBCTech,SAME,02/2018,0
129457357,You can run but you can’t hide. Chinese police unveil camera sunglasses.,SAME,02/2018,0
87775422,Railway police use real-timeglasses to fight crime duringin Zhengzhou Central China's Henan province. (Photo: VCG),SAME,02/2018,0
1849613586,‘Black Mirror’ technology:police donglasses to nab suspects newest use oftechnology drawingconcerns,SAME,02/2018,0
3676660281,Wow. Police in China are scanning travelers withglassesvia @engadget,SAME,02/2018,1
61541177,"Chinese Police are usingandto catch criminals. The future?
",SAME,02/2018,0
763203213801639936,You can run but you can’t hide. Chinese police unveil camera sunglasses.,SAME,02/2018,0
958640975496273922,Hello Minority Report: Chinese police is using AI and smart glasses to recognize individuals in busy crowds,SAME,02/2018,1
123662382, police don high-techglasses to nab suspects ,SAME,02/2018,0
3599428343,"The police in China now have high-tech facial recognition glasses as part of their accessories. How cool is that! But probably not for the criminally inclined
",SAME,02/2018,1
15327418,"BBC News - Chinese police spot suspects with surveillance 

sunglasses",SAME,02/2018,0
30218099,Fave Value: more than half of US adults are recorded in police facial recognition databases,SAME,02/2018,1
1229675046,Chinese police spot suspects with surveillance sunglasses “Police in China have begun using sunglasses equipped with facial recognition technology to identify suspected criminals.”,SAME,02/2018,0
1934406164,"A Chinese policewoman wearing a camera ""connected"" to face recognition system to detect suspects.

 for",SAME,02/2018,0
347191988,South Wales Police usedsoftware to identify and arrest three people:,SAME,02/2018,0
906158079628029952,On Your Face: Facial Recognition Sunglasses to ID Criminals in China,SAME,02/2018,0
1001929386,"Chinese police increase use of smart tech in arrests

",SAME,02/2018,1
707307657271574528,Edmonton police hope public will fund new intelligence centre that has raised privacy concerns,SAME,02/2018,1
707307657271574528,Chinese police using facial recognition glasses to identify suspects,SAME,02/2018,0
289616919,"Chinese police using facial recognition glasses to identify suspects

",SAME,02/2018,0
721590650563461120,“Facial recognition is a perfect complement to your existing surveillance system enhancing security and/or customer experience in real time.,SAME,02/2018,1
85761871,"Chinese police officers were spotted wearing surveillance sunglasses equipped with facial recognition software that helps them identify potential criminals

",SAME,02/2018,0
304572237,Police : millions of citizens' faces are now digitised and searchable – but the tech is poor| @MartinPaulEviso |,SAME,02/2018,0
338849585,Chinese police are usingglasses to catch suspects. ,SAME,02/2018,0
2582922301,Chinese police get face-recognition sunglasses in crackdown on crime dissent !,SAME,02/2018,0
2870008455,""" Police Begin Usingto Find Suspects"": ",SAME,02/2018,0
2827421829,"Chinese police are usingto identify potential suspects

 ",SAME,02/2018,0
962962160354766848,"6 arrested using Facial Recognition technology by UK Police within an hour of the software being activated. 

 


",SAME,02/2018,0
19237940,Chinese police spot suspects with surveillance sunglasses - BBC News,SAME,02/2018,0
25262504,Chinese Police UsingGlasses To Identify Criminals:,SAME,02/2018,0
136975435,Thebeing used to fight crime now.,SAME,02/2018,0
315981752,Brilliant use of facial recognition through AI should help in time reduced to catch criminals evading cops!!,SAME,02/2018,1
1559954252,"China Police: Just started using Real ""Facial Recognition"" Technology. This will change the way security is provided to citizens. Offenders cannot hide anywhere. Welcome To The New World Of Artificial Intelligence!

",SAME,02/2018,1
4159048754,Nvidia to create surveillance cameras that can track and identify faces in public,SAME,02/2018,1
4159048754,Nvidia to create surveillance cameras that can track and identify faces in public,SAME,02/2018,1
4159048754,Nvidia to create surveillance cameras that can track and identify faces in public,SAME,02/2018,1
250543278,Nvidia to create surveillance cameras that can track and identify faces in public,SAME,02/2018,1
3320737312, Chinese Police Using Facial Recognition Glasses To Identify Criminals,SAME,02/2018,0
68506521,Nvidia to create surveillance cameras that can track and identify faces in public,SAME,02/2018,1
4159048754,Nvidia to create surveillance cameras that can track and identify faces in public,SAME,02/2018,1
297397741,"US intelligence chief worries more about cybersecurity than terrorism

 
",SAME,02/2018,0
546313843,"🙍🏼🙍🏻‍♂️GROUNDBREAKING ""Your face to be your&amp; boarding pass"" Sydney Airport international terminal to trial facial-recognition tech in May @2morrowknight

@BiometricsInsti ",SAME,02/2018,0
1132795518,Smile you're on camera: A bank of security cameras greets Sydney derby fans as part of an anti-terrorism exercise@smh,SAME,02/2018,1
607865770,"Even thoughallows China to fight crime and thus contributes to public safety it comes with a long list of limitations. 
Link - 
",SAME,03/2018,0
348974190, debates use oftechnology in security and policing. Watch live ,SAME,03/2018,1
26478168,No. 7One important piece in your Crime Gun Intelligence gathering.Doesandcontribute?,SAME,03/2018,0
297397741,"US intelligence chief worries more aboutthan terrorism


",SAME,03/2018,0
30985855,No. 7One important piece in your Crime Gun Intelligence gathering.Doandcontribute?,SAME,03/2018,0
721590650563461120,“Facial recognition is a perfect complement to your existing surveillance system enhancing security and/or customer experience in real time.,SAME,03/2018,1
3094109274,No. 7One important piece in your Crime Gun Intelligence gathering.Doesandcontribute?,SAME,03/2018,0
967723211952705536,"@surcamcom The Gov Should useinstalled into public areas so after ""committing a crime"" law enforcement should use thedetectors to search into all public areas like buses undergrounds etc. so they will locate them quicker!",SAME,03/2018,0
2826536509,Police use ofcomes under fire from peers - @GreenJennyJones calls for immediate ban ,SAME,03/2018,0
70814947,"BBC News - Chinese police spot suspects with surveillance sunglasses 
",SAME,03/2018,0
2193128997, andbets onin a big drive for total surveillance. Surveillanceare giving the government a sense that it can finally achieve the level of control over people's lives that it aspires to,SAME,03/2018,1
23076276,There's no legislation in any state regulating or calling for the audit of facial recognition databases yet over 50% of us are in facial databases already.,SAME,03/2018,0
374570827,"used by the police to catch criminals.

",SAME,03/2018,0
721590650563461120,"How access controlled revolving doors can protect businesses from crime?
Read more: 
",SAME,03/2018,0
256965214,UK House of Lords: Security and Policing:Technology ,SAME,03/2018,1
1001929386,"35 False Matches and 1 Erroneous Arrest As Police Secretly Test Facial Recognition Technology

 ",SAME,03/2018,0
889506511004721153, Technology Must Balance TheAnd Security Aspects But It Is Being Abused For Surveillance Purposes These Days Opines @Praveen_Dalal.@AdvocateGeeta @ScrapAadhaar @_Orwellian @_Biometric @CEPHRC ,SAME,03/2018,0
294060192,Interesting how police in Delhi India usewithcapabilities for identification ,SAME,03/2018,1
987600932,The future use of facial recognition by police will be affected by a ruling soon to be passed down by a district appeals court in florida,SAME,03/2018,0
987600932,The future use of facial recognition by police will be affected by a ruling soon to be passed down by a district appeals court in florida,SAME,03/2018,0
4830114910,"‘The inclusion of facial-recognition software in personal devices is expected to accelerate the mass adoption of the technology and that could change how people shop’
3 Ways Retailers Can UseTo Create Better Experiences 
 ",SAME,03/2018,1
1446376116,"""Quietly and very rapidly facial recognition has enabled China to become the world’s most advanced surveillance state."" Rene Chun via @TheAtlantic",SAME,03/2018,1
24945451,The inclusion of facial-recognition software in personal devices is expected to accelerate the mass adoption of the technology: find out how you can useto improve customer experience by reading this Forbes article: ,SAME,03/2018,1
297397741,"Mark Warner: The country is 'woefully unprepared' for cyber threats

",SAME,03/2018,0
68506521,Anti-surveillance apparel hides your face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,03/2018,1
250543278,Anti-surveillance apparel hides your face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,03/2018,1
4159048754,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,03/2018,1
68506521,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,03/2018,1
250543278,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,03/2018,1
920122256365199360,Growth of facial recognition software in China..in 2017 over 530 video surveillance patents and more than 900 facialrecognition patents were published in China including private market activity &amp; government monitoring schemes.,SAME,03/2018,1
68506521,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,03/2018,1
1229675046,“Race and Face Recognition: Discovering Algorithmic Bias in a Powerful Surveillance Technology” w/ Poet of Code Joy Buolamwini PhD Student MIT/Founder Algorithmic Justice League @jovialjoy@GeorgetownCPT@MIT,SAME,03/2018,1
990923694,"@ayushmannk Chinese police on the outskirts of Beijing are now using smart facial recognition smart glasses powered by AI.



Readmore: ",SAME,03/2018,1
4159048754,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,03/2018,1
68506521,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,03/2018,1
4159048754,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,03/2018,1
721590650563461120,“Facial recognition is a perfect complement to your existing surveillance system enhancing security and/or customer experience in real time.,SAME,03/2018,1
721590650563461120,"How access controlled revolving doors can protect businesses from crime?
Read more: 
",SAME,03/2018,0
250543278,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,03/2018,1
16476911, technology 'could prevent future terror attacks' - ,SAME,04/2018,0
4159048754,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,04/2018,1
68506521,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,04/2018,1
100568030,Can Police Use a Dead Man’s Finger to Unlock His iPhone? Sometimes.@sharonnelsonesq,SAME,04/2018,0
250543278,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,04/2018,1
68506521,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,04/2018,1
920122256365199360,Fans Are the Target of Madison Square Garden’s New Facial-Recognition Technology...Facial recognition is a threat to privacy and the latest frontier in surveillance.,SAME,04/2018,0
4159048754,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,SAME,04/2018,1
970977090,"What do you think about ?

""'Facial identification service (FIS) was limited to law enforcement and border protection agencies but said it would be “very concerned” if... ",SAME,04/2018,0
854424657058910208," companies are working with police departments to usesoftware to detect wanting or missing persons
",SAME,04/2018,0
4860983848,"SST Magazine

@SSTMagSG

Fans Are the Target of Madison Square Garden’s New Facial-Recognition Technology...Facial recognition is a threat to privacy and the latest frontier in surveillance. … ... ",SAME,04/2018,0
860697332828045312,"SST Magazine

@SSTMagSG

Fans Are the Target of Madison Square Garden’s New Facial-Recognition Technology...Facial recognition is a threat to privacy and the latest frontier in surveillance. …",SAME,04/2018,0
889506511004721153, Glasses: Next On The Government’s Wish List,SAME,04/2018,1
1662485388,"@evankirstel @TechnoFails Surveillance via Facial Recognition ––––

Reminds:like 'fire' : the good comes with the bad

Tipping point?? 

State ",SAME,04/2018,0
296728882,Can we come along to showcase @DigitalBarriers’withon the same device? It’s an absolute game changer for technology in policing and public safety. ,SAME,04/2018,1
14056672,Could-BasedPredict Crime Before It Happens?@Cortica- Digital Trends,SAME,04/2018,0
951142223164395521,INTERPOL_HQ: INTERPOL maintains databases ofprofiles and facial images allowing police across the world to make connections between criminals and crime scenes. Find out plusplus:,SAME,04/2018,0
951142223164395521,INTERPOL_HQ: : Global police community approves measures to enhance global security -,SAME,04/2018,1
50643002,: Global police community approves measures to enhance global security -,SAME,04/2018,1
87775422,Police nabbed a crime suspect at a concert in Nanchang Jiangxi province thanks to a facial recognition system. ,SAME,04/2018,0
289616919,"Facial recognition tech catches fugitive in huge crowd at Jacky Cheung Cantopop concert in China

",SAME,04/2018,1
945404865718685696,The world’s most valuable AI startup is a Chinese company specializing in real-time surveillance,SAME,04/2018,1
3535157842,'Chinese police used facial recognition to catch a suspect in a crowd of 60000'via @mashable,SAME,04/2018,0
984181570918592517,Chinese Authorities Nab Fugitive In A Crowd Of 60k Thanks To Facial Recognition AI&gt;&gt;&gt;…,SAME,04/2018,1
3060766002,"Chinese police use facial recognition tech to identify suspect from crowd of 50000
",SAME,04/2018,0
2317861,Facial Recognition Spots Criminal in Crowd of 60000@PCMag,SAME,04/2018,0
2709707268,Chinese police nabbed a crime suspect usingout of 60000 attending a rock concert in Nanchang Jiangxi province thanks to new facial recognition AI system.,SAME,04/2018,0
492399295, Chinese police arrest man usingat pop concertvia @MailOnline,SAME,04/2018,0
3033092453,Chinese authorities nab fugitive in a crowd of 50k thanks to facial recognition AIby @mrgreene1977 ,SAME,04/2018,1
820989374989008898,".@Qualcomm releases Vision Intelligence Platform dedicated to visual data processing &amp;at thefor surveillance cameras and robotics 
",SAME,04/2018,1
849940316107014146,Police nabbed a crime suspect at a concert in Nanchang Jiangxi province thanks to a facial recognition system.,SAME,04/2018,0
828281213421027329,"World's Most Valuable AI Startup Also Happens To Be Part of ""the World's Biggest System of Surveillance""@Futurism",SAME,04/2018,1
2316133784,Facial Recognition In China Is Big Business As Local Governments Boost Surveillance,SAME,04/2018,1
766283682927828992,"Scary.
""Suspect caught in China at music concert after being detected by facial recognition technology""

",SAME,04/2018,0
100543057,Facial Recognition Technology To Fight Crime In China; What Could Go Wrong?,SAME,04/2018,0
854717797850656768,"Chinese police have used facial recognition technology to locate and arrest a man who was among a crowd of 60000 concert goers



",SAME,04/2018,0
